GO:0006422	aspartyl-tRNA aminoacylation
GO:0035268	OBSOLETE
GO:0035269	protein O-linked glycosylation via mannose
GO:0097502	OBSOLETE
GO:0010389	regulation of G2/M transition of mitotic cell cycle
GO:1902749	regulation of cell cycle G2/M phase transition
GO:0006493	protein O-linked glycosylation
GO:0042147	retrograde transport, endosome to Golgi
GO:0000086	G2/M transition of mitotic cell cycle
GO:0032456	endocytic recycling
GO:0044839	cell cycle G2/M phase transition
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
