"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-76789"	0.981210539510439	5.66873638926657	137.620791702613	1.72310413142077e-16	1.83286586459227e-12	"gene-76789"
"gene-172388"	-3.97553102731662	4.88118779276835	132.69407140546	3.50259464046144e-16	1.86285495952942e-12	"gene-172388"
"gene-88517"	1.0216034262741	6.83252331032464	121.603043029677	1.85815590187159e-15	5.59265501236692e-12	"gene-88517"
"gene-162992"	-2.52875379558438	3.84174046267667	119.905818123834	2.42126865730061e-15	5.59265501236692e-12	"gene-162992"
"gene-16817"	2.0280000662952	8.93852685672609	119.381762026772	2.62886857777894e-15	5.59265501236692e-12	"gene-16817"
"gene-279912"	3.10976062466031	6.8143198359572	116.347222525415	4.25411530380023e-15	7.33419245543095e-12	"gene-279912"
"gene-17915"	-2.67027465121267	4.28082290582862	115.560322674154	4.82648746714456e-15	7.33419245543095e-12	"gene-17915"
"gene-231540"	2.18592275628728	9.12080797967809	113.640856758265	6.58329735354291e-15	8.7533167437045e-12	"gene-231540"
"gene-258523"	-3.16744646784879	5.08514455046391	112.650548349485	7.73764433807115e-15	9.14503586934032e-12	"gene-258523"
"gene-312890"	3.08125680865991	4.43246912843996	110.598599134567	1.08478958249401e-14	1.0096748370992e-11	"gene-312890"
"gene-163088"	-3.76402802214158	5.59462989498628	110.490150460603	1.10446554684441e-14	1.0096748370992e-11	"gene-163088"
"gene-19748"	-1.07063958376702	5.88775648047345	110.253513087512	1.14869461202694e-14	1.0096748370992e-11	"gene-19748"
"gene-145538"	-3.84566709602909	5.64332553943231	109.822807206073	1.23397319566509e-14	1.0096748370992e-11	"gene-145538"
"gene-252927"	-4.26849857297333	3.91795811215896	109.110530471849	1.38969986426933e-14	1.05587410401663e-11	"gene-252927"
"gene-17229"	2.01477322075692	7.28258147823866	108.500236469085	1.53931629030441e-14	1.09158049199787e-11	"gene-17229"
"gene-414380"	-4.71330991005938	3.29429247007484	107.430658735797	1.84315672171035e-14	1.16615147713846e-11	"gene-414380"
"gene-174050"	-1.44034311900842	4.69700692676437	107.364962269693	1.86373743643451e-14	1.16615147713846e-11	"gene-174050"
"gene-197659"	-4.21671001772125	5.1687814692381	106.649356003534	2.10398710194118e-14	1.2433394890749e-11	"gene-197659"
