"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-116902"	-0.860574074841447	-1.95078805226393	7.95122496306353	61.7737853441786	8.03079769514833e-17	1.89098516395093e-14	"gene-116902"
"gene-258078"	-1.4161134509623	-1.97365833339674	8.5916267385469	61.5112901081281	8.89225616097742e-17	2.04831187568949e-14	"gene-258078"
"gene-19748"	0.613269198995101	1.05104107625324	5.85467120745253	61.4002103913498	9.28481665297505e-17	2.09323228201965e-14	"gene-19748"
"gene-38885"	-1.60213100205307	-2.96804220386389	9.0988112116621	61.3448954808631	9.48688763588634e-17	2.09423044562191e-14	"gene-38885"
"gene-226944"	1.35569710297208	5.08269481971385	2.32357922506617	61.1216274778518	1.03494519537372e-16	2.23801618166938e-14	"gene-226944"
"gene-310012"	-1.33920214002867	-2.25503504793199	8.15699563052794	60.8484817296486	1.15151246777263e-16	2.44028522170375e-14	"gene-310012"
"gene-37420"	-0.622357829456148	-0.962878081742821	7.00833975845025	60.227074473911	1.46957426458028e-16	3.05325664852797e-14	"gene-37420"
"gene-179931"	-0.724833310981388	-1.10074850162185	7.47155059790837	59.789630473132	1.74644476678827e-16	3.55871706709395e-14	"gene-179931"
"gene-246231"	-0.448222643846811	-0.934100912923365	7.02130122610269	59.6144988773539	1.87180049169383e-16	3.74218830377129e-14	"gene-246231"
"gene-179544"	-1.22241356003777	-2.41809645440519	5.94524263457907	59.3881389082783	2.047620699635e-16	4.01788683950601e-14	"gene-179544"
"gene-6190"	-0.725761348250134	-1.35279094230927	6.59716961424175	59.3237136001697	2.10069496714056e-16	4.04708434033116e-14	"gene-6190"
"gene-312908"	-0.985044193467507	-1.53900212861206	9.49183012182201	59.0425040179885	2.34940279870945e-16	4.44540572412952e-14	"gene-312908"
"gene-330422"	-0.862760358341845	-1.76582317958594	9.39765733177371	58.4343537406595	2.99589708303018e-16	5.49144544019506e-14	"gene-330422"
