"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-29815"	0.23039865034328	0.374062320024415	5.52028872405659	12.32836491902	2.21778297823312e-05	9.67461030768142e-05	"gene-29815"
"gene-414946"	-0.452484453622837	-0.529015033557674	5.94138863472068	12.3201895327824	2.2316127844672e-05	9.73093377128168e-05	"gene-414946"
"gene-79236"	0.204485540353666	1.38373149505912	2.35079798467621	12.3115486856721	2.24632615263483e-05	9.79106207869958e-05	"gene-79236"
"gene-419068"	3.8630016814999	4.65168837098092	2.45892372818011	12.6957130480416	2.25881457962867e-05	9.83874759336893e-05	"gene-419068"
"gene-163513"	-0.197846714600244	-0.356753912690167	6.86068382930011	12.3040801286	2.25912352724298e-05	9.83874759336893e-05	"gene-163513"
"gene-275720"	1.98778940616241	2.69656128828862	4.14307734229303	12.2996192097228	2.26680295729897e-05	9.8681364566721e-05	"gene-275720"
"gene-249299"	-0.50143478019366	-0.969223681935829	5.32829005889988	12.2981130727001	2.26940179928346e-05	9.87539279885322e-05	"gene-249299"
"gene-233934"	-0.268774613869583	-0.365122754812801	6.38059342264726	12.295842358274	2.27332569844319e-05	9.88840685578982e-05	"gene-233934"
"gene-331320"	0.107803656997682	1.16803218122948	3.52943182902414	12.2946719862522	2.27535087194727e-05	9.89315463239775e-05	"gene-331320"
"gene-216141"	-0.480337781259585	-0.62550291931888	4.57245776633541	12.286748666684	2.28910987686058e-05	9.94889592092484e-05	"gene-216141"
"gene-55914"	-0.993480423711719	-1.82171180760024	5.42936956091163	12.2834286484948	2.2949004961807e-05	9.96997361932379e-05	"gene-55914"
"gene-151598"	-0.637625020441214	-1.11904263828329	2.76303625630584	12.266851092099	2.32403988095654e-05	0.000100887746598568	"gene-151598"
"gene-59359"	0.969035256100769	1.48328882235415	5.0659812279811	12.2667885541258	2.32415052328335e-05	0.000100887746598568	"gene-59359"
"gene-292407"	2.11209051522871	3.23064081415225	2.46682319689215	12.2613572291716	2.33378027322831e-05	0.00010126427426342	"gene-292407"
"gene-291578"	-0.333800057530225	-0.544257032927485	6.12674004764267	12.255086275801	2.34494959989507e-05	0.000101707269588572	"gene-291578"
"gene-132117"	2.35307112612009	3.56479084872319	5.29550053496519	12.2499072256226	2.35421544279519e-05	0.00010206737656243	"gene-132117"
"gene-370967"	3.40495715821776	5.22558531237386	2.44407688553077	12.6352021241042	2.35899345875692e-05	0.000102232698114472	"gene-370967"
"gene-424863"	-1.70681909948857	-3.12786675112694	7.42431230818675	12.240024741357	2.37200053019977e-05	0.0001027543647506	"gene-424863"
"gene-20041"	0.234022664214148	0.762440647131391	3.47884293067735	12.238576361678	2.37461867125292e-05	0.000102825743525116	"gene-20041"
"gene-13404"	1.59442876271463	4.01029650668295	1.58510632991422	12.6250812846945	2.37619109634682e-05	0.000102851800885992	"gene-13404"
"gene-43636"	0.606146055960661	1.50165362379002	4.05674453510946	12.2273834291188	2.39495161413865e-05	0.00010362150797637	"gene-43636"
"gene-258099"	-0.547313420732744	-1.17606654783528	3.7329608658024	12.2203684572876	2.40778586397839e-05	0.000104134281692714	"gene-258099"
"gene-71048"	-0.100484141041853	-0.764494337013464	9.57868036118683	12.2197107904556	2.40899270985806e-05	0.000104143968803166	"gene-71048"
"gene-239030"	0.0233038626391588	0.248177806232447	7.32087354287853	12.2151818456636	2.41732037450433e-05	0.000104461364960228	"gene-239030"
"gene-65339"	0.254045706136595	0.515699650066171	5.97826343647128	12.2134121825805	2.42058238570803e-05	0.000104559685931359	"gene-65339"
"gene-164955"	-0.171054154062219	-0.554095286623575	7.82107790516593	12.2054026991549	2.43540277713247e-05	0.000105116012218005	"gene-164955"
"gene-378533"	0.610974476960165	1.33353455061103	2.76221609850471	12.2053796579947	2.43544554544358e-05	0.000105116012218005	"gene-378533"
"gene-40210"	-1.54530857468417	1.18331676113379	6.26202466407583	12.1972539048311	2.45057646395497e-05	0.000105726010635451	"gene-40210"
"gene-363077"	0.35918474010022	0.499612247553577	5.89325998055265	12.1950272955681	2.45473942487951e-05	0.000105862510972826	"gene-363077"
"gene-384303"	-0.78738100640296	4.57256829515259	6.5547523352074	12.1918489457988	2.4606943684471e-05	0.000106076149422561	"gene-384303"
"gene-364777"	1.55865322694625	2.27760890158059	0.364708397468969	12.1869821397768	2.4698415234642e-05	0.00010642716869714	"gene-364777"
"gene-122125"	-0.165294911624346	-0.575614278651655	6.61722434532356	12.1728206844648	2.49665683779391e-05	0.000107538926232781	"gene-122125"
"gene-11260"	-0.777792003427957	0.380427584151621	6.15885464215306	12.1669555952266	2.50784989952705e-05	0.000107977153739897	"gene-11260"
"gene-272164"	1.11939133686775	2.322672843809	5.67645382476141	12.1653952754483	2.51083630496851e-05	0.000108061825700432	"gene-272164"
"gene-64425"	-0.480917174322794	-1.17801915930763	7.26476350588464	12.16413704647	2.51324717387986e-05	0.000108121668917706	"gene-64425"
"gene-326377"	1.73223301317649	2.97886871867734	3.28192296118359	12.1606350436792	2.51996980283762e-05	0.000108366883242157	"gene-326377"
"gene-199245"	0.590807752148867	0.978232550628159	6.23037286006938	12.1559252144526	2.52904013010233e-05	0.000108712816302492	"gene-199245"
"gene-61250"	0.145596013753475	0.460471893624014	4.89582356135897	12.1470390066162	2.54624474100484e-05	0.000109407985708383	"gene-61250"
"gene-262702"	-0.205523165606803	-0.552251121562305	6.21353790976751	12.1356245981358	2.56852047369891e-05	0.00011032040105113	"gene-262702"
"gene-341145"	0.146976803022191	0.372346620303474	6.00566632218427	12.1267978942044	2.58588315272863e-05	0.000110952315541754	"gene-341145"
"gene-347328"	-0.461083173155705	-1.23210598877286	7.22471585103414	12.1266754279441	2.58612489631915e-05	0.000110952315541754	"gene-347328"
"gene-419031"	3.10207421490531	3.7980167908501	4.6458704503235	12.1265491003018	2.58637428641121e-05	0.000110952315541754	"gene-419031"
"gene-366101"	-0.415260255826169	-0.630532600776009	6.00043310288139	12.1199279298041	2.59948007429782e-05	0.000111469408608902	"gene-366101"
"gene-151178"	-0.688862794346477	-0.623898701408319	5.51299595441295	12.1179549763212	2.60339844794954e-05	0.000111592273278614	"gene-151178"
"gene-239402"	-0.255643038642168	-1.02954844505226	10.8423491334096	12.1149514699858	2.60937517908348e-05	0.000111803232501288	"gene-239402"
"gene-101468"	0.189823281224422	0.772638080655841	4.36325239224513	12.1106733217917	2.61791264949358e-05	0.00011212369617637	"gene-101468"
"gene-244433"	0.670041377738555	1.51964557461163	2.30888357827823	12.1060926913891	2.62708551580044e-05	0.000112444476605107	"gene-244433"
"g5038"	2.75169122149816	1.37304380989832	0.832875431458422	12.1058737565023	2.6275247647626e-05	0.000112444476605107	"g5038"
"gene-55397"	-0.168107969278957	1.5195205984132	3.66358340923074	12.1038461904868	2.63159625003639e-05	0.000112573249355614	"gene-55397"
"gene-140361"	-0.559865602612404	-2.40151688095162	6.14761294861187	12.1026821728218	2.63393659668051e-05	0.000112627894182513	"gene-140361"
"gene-143016"	-0.106128379364608	-0.593522478252922	7.6046881068467	12.1019968378735	2.63531551330624e-05	0.000112641400480004	"gene-143016"
"gene-237699"	-0.146051710383739	-0.64955383884918	10.6816109597238	12.1002736097781	2.63878597743733e-05	0.000112744258939218	"gene-237699"
"gene-405251"	0.0195122701401443	0.484974990256216	5.30760239646085	12.0958781701214	2.64765933488152e-05	0.000113077784411143	"gene-405251"
"gene-266857"	3.79768996809492	2.00546348327721	6.20361655750164	12.091920951548	2.65567420313922e-05	0.000113374391041351	"gene-266857"
"gene-129512"	-1.53406689627206	-1.00470124535535	1.8277468714506	12.0913934710397	2.6567444290427e-05	0.000113374401812873	"gene-129512"
"gene-222191"	-0.148871245430703	2.04073536062848	2.13815492189696	12.0865441239033	2.66660420956936e-05	0.000113749348649746	"gene-222191"
"gene-142656"	-0.108911984839511	0.738651561160041	2.36113564106209	12.0860038999611	2.66770492339298e-05	0.000113750508524233	"gene-142656"
"gene-332753"	-0.42367611368901	-1.27096342018746	7.63622530315674	12.0844762139946	2.67082012755643e-05	0.00011383753045691	"gene-332753"
"gene-328941"	1.01053991589021	3.87640443480327	4.01894161583394	12.0796119983713	2.68076394110747e-05	0.000114215419059006	"gene-328941"
"gene-287217"	1.08372527687079	1.9594437341642	3.91566649973241	12.0769444973993	2.68623316934966e-05	0.000114402438353814	"gene-287217"
"gene-313589"	0.280102613481661	0.455038909040459	5.143832390189	12.0761642657839	2.68783505526458e-05	0.000114424669528258	"gene-313589"
"gene-142939"	-0.424832319822048	-0.703910477244333	9.06706904949229	12.0688260123602	2.70294917418829e-05	0.000115021885340157	"gene-142939"
"gene-229515"	-0.429237783211358	-0.727248570205655	5.63626782622925	12.0675229685871	2.70564206726317e-05	0.000115090258308794	"gene-229515"
"gene-280157"	-0.250078990048491	-0.47505864612902	6.48879462846749	12.0599465787592	2.72135416874979e-05	0.00011571215398103	"gene-280157"
"gene-79070"	0.414023886519117	0.448554223283143	4.84842663070877	12.0422267494966	2.75846839402673e-05	0.000117243205387514	"gene-79070"
"gene-201974"	0.339757703217991	0.585792236948184	3.94097982210931	12.0377528317564	2.76792084111563e-05	0.000117597791629756	"gene-201974"
"gene-270625"	-0.825537092231812	0.53559650487229	8.51330549205603	12.0345872318965	2.77462915030592e-05	0.000117835553012591	"gene-270625"
"gene-77004"	-0.935681207999897	-1.64817608660884	2.63138588229749	12.0339933110545	2.77588960064733e-05	0.000117841851796711	"gene-77004"
"gene-359886"	0.212816233695959	0.467522710095068	6.33871368021479	12.0330029444361	2.77799271544881e-05	0.000117867818809367	"gene-359886"
"gene-86969"	-0.184936289231455	-0.473092566992462	6.66454029367619	12.0326577984284	2.77872604176858e-05	0.000117867818809367	"gene-86969"
"gene-288248"	-0.387295865387879	-0.764833126903775	4.97880882284416	12.0283822841568	2.78782663955574e-05	0.000118206526901691	"gene-288248"
"gene-60151"	0.590655028602298	2.93218703108685	4.70917104124532	12.0270105156053	2.79075297454535e-05	0.00011828327407313	"gene-60151"
"gene-91489"	1.2568392740414	1.8393290772315	0.950720625700882	12.0158998060648	2.8145713720415e-05	0.000119245094994609	"gene-91489"
"gene-21567"	-0.311292806730915	-1.07088643835252	12.7112658928493	12.01034298887	2.82656181444511e-05	0.000119705231758035	"gene-21567"
"gene-241916"	0.0395780021259793	0.270184011646409	5.72784079777991	12.0077233326899	2.83223263882067e-05	0.000119897471198337	"gene-241916"
"gene-77699"	0.756511262784198	0.628312441837208	8.72519208798456	12.0049876917544	2.83816699323366e-05	0.000120100708707284	"gene-77699"
"gene-409994"	-0.857953863459993	-1.56901271248322	2.26768542382018	11.9972444644918	2.85503340117703e-05	0.000120766203268949	"gene-409994"
"gene-267939"	0.43779667353992	0.727902566674467	3.36011251220408	11.9962706184645	2.85716191146774e-05	0.0001208080112287	"gene-267939"
"gene-270956"	1.15794939773682	1.91692675264609	2.78797828182291	11.9925068413343	2.86540361392796e-05	0.000121108163913764	"gene-270956"
"gene-244768"	0.91413278570271	0.984032512854617	4.53810849733701	11.9915106854782	2.86758901644451e-05	0.000121152205814378	"gene-244768"
"gene-55610"	-0.483405890166411	-0.740176751788328	5.39714971815323	11.9909675834466	2.86878121315441e-05	0.000121154267575066	"gene-55610"
"gene-210646"	-0.329657342871521	-0.147622514524231	7.3694042412585	11.9895487711017	2.87189813466966e-05	0.000121237580218963	"gene-210646"
"gene-357976"	0.16546332932603	0.89431977602411	4.2109158375028	11.9789210659023	2.89535635578421e-05	0.000122179195324132	"gene-357976"
"gene-92757"	2.41023869788953	3.05165279746943	-0.641239171046353	12.7483403850566	2.8975657737425e-05	0.000122223753736368	"gene-92757"
"gene-50890"	0.329495239418985	0.464098433594864	5.18168662907675	11.9765764807084	2.90055789456688e-05	0.000122301279151734	"gene-50890"
"gene-114203"	1.20603332040937	1.45361288395778	0.941321461257457	11.9757162044037	2.90246884810137e-05	0.000122333173884177	"gene-114203"
"gene-221881"	0.428055898825368	0.355661888187572	5.44395291155576	11.9743541128961	2.90549713743157e-05	0.000122412117965109	"gene-221881"
"gene-136192"	0.276621828923102	0.716972021338796	3.19533322984376	11.9733109663633	2.90781851872916e-05	0.000122461228237099	"gene-136192"
"gene-181746"	0.257419035514896	-0.674213827152505	3.54464417218247	11.9722597911311	2.91015969098554e-05	0.000122505880747511	"gene-181746"
"gene-62578"	-0.223554920742029	-0.684805501410261	5.34535322611254	11.9717969737754	2.91119108835628e-05	0.000122505880747511	"gene-62578"
"gene-132812"	-0.855304673248535	-1.18613393275054	6.58118271620711	11.9636345395106	2.92944296667967e-05	0.000123210070154374	"gene-132812"
"gene-168616"	-0.291603619677173	-0.340986920841426	6.12495970647857	11.9632744656621	2.93025081907345e-05	0.000123210070154374	"gene-168616"
"gene-100826"	-0.249419326245489	-1.2532228692986	3.68393584303759	11.9568870828979	2.94461942257757e-05	0.000123765122576882	"gene-100826"
"gene-92601"	0.116995478745551	0.348210046382683	6.00059856689193	11.9536629711625	2.95189957781533e-05	0.000123984285475629	"gene-92601"
"gene-127672"	-0.819431472361872	-0.964088304266656	2.92592473326907	11.9535416192326	2.95217395484157e-05	0.000123984285475629	"gene-127672"
"gene-239228"	-0.185796128724505	-0.785748331566316	10.6421122292273	11.9518974093515	2.95589409663478e-05	0.000124091338541768	"gene-239228"
"gene-405355"	-0.551136067674222	-1.09311035899503	5.33843708981945	11.9459004751766	2.9695033816586e-05	0.000124613298344771	"gene-405355"
"gene-170397"	0.063371988691378	0.472848242751703	4.72734350274333	11.9430696183963	2.97594996424055e-05	0.000124787560127352	"gene-170397"
"gene-57335"	-0.341815099550723	-0.793678282936141	4.21588197692854	11.9430426851676	2.97601136694809e-05	0.000124787560127352	"gene-57335"
"gene-231581"	-0.230494066045702	-0.44074236880684	5.51144199308065	11.9322146952875	3.00080272241609e-05	0.00012577731664051	"gene-231581"
"gene-243159"	0.898427588663959	0.872944263264446	4.58647247708442	11.9297374921608	3.0065041430064e-05	0.000125966460653602	"gene-243159"
"gene-263699"	0.587013344372221	1.23291813131942	2.80672903095709	11.9272952127172	3.01213606086593e-05	0.000126152544272472	"gene-263699"
"gene-383816"	0.469722835488637	0.519628700682826	6.49466938433756	11.9154546969759	3.03959417301932e-05	0.000127252231755483	"gene-383816"
"gene-71057"	-0.183926135998218	-0.532835421558748	6.7965066289328	11.9066705935955	3.06013023912254e-05	0.000128061374461858	"gene-71057"
"gene-31182"	0.0797398247138154	0.99286173472086	4.71884916992903	11.9023759033542	3.07022239192394e-05	0.000128432990386206	"gene-31182"
"gene-328974"	0.115829789003874	0.792933951502458	5.05309494944023	11.8992500349346	3.07758937277037e-05	0.00012869035909185	"gene-328974"
"gene-382646"	-0.402889682384614	-0.870222882851892	6.83603826367661	11.8945066262191	3.08880318373119e-05	0.00012910831769158	"gene-382646"
"gene-352598"	2.55041835184251	3.60342679718777	2.23177347741652	11.8703776710482	3.14649822725434e-05	0.000131468041072504	"gene-352598"
"gene-31448"	-0.389777130697601	-1.57089399820559	0.116803837332098	11.8671766992558	3.15423471818008e-05	0.000131739342033252	"gene-31448"
"gene-47848"	-0.791095264206274	-3.45870026277223	1.22744394621887	11.8645324908485	3.1606402693874e-05	0.000131954863256221	"gene-47848"
"gene-187949"	1.33330137421766	2.12960062157158	-0.543922540929799	11.8605367481695	3.17034521246123e-05	0.000132307908118311	"gene-187949"
"gene-145550"	-0.337820926549829	-0.315511206337961	7.00711862972052	11.8586149799294	3.17502372203672e-05	0.000132450989601185	"gene-145550"
"gene-286545"	-0.996597854972191	-0.98479236736279	5.73563781653481	11.8517876639244	3.19170203587042e-05	0.000133094351720122	"gene-286545"
"gene-333750"	-0.123220057410286	-0.693872636613404	6.84836842063942	11.8501253831732	3.19577637261528e-05	0.000133211827081949	"gene-333750"
"gene-249948"	0.71159456336904	2.05947515064159	-0.00219992231446054	11.8473749122808	3.20252963868732e-05	0.000133440833863668	"gene-249948"
"gene-111266"	1.84087758332469	2.6413579768918	1.09530594051347	11.8328630788501	3.23840383124761e-05	0.000134865953070134	"gene-111266"
"gene-253944"	1.53879897424589	1.81156675488937	0.0334034551529958	11.8325116967717	3.23927756288686e-05	0.000134865953070134	"gene-253944"
"gene-331446"	0.0687016011717894	0.406108816275029	6.51172178337419	11.8221600354996	3.26512632602606e-05	0.00013588876099989	"gene-331446"
"gene-359794"	1.55917069782455	0.871529198072743	8.92368866944886	11.8196789723517	3.27135306685883e-05	0.000136094452675446	"gene-359794"
"gene-175747"	0.0166540676224211	1.14622313396116	4.48497873606717	11.8107304061943	3.29391269806592e-05	0.000136979195246101	"gene-175747"
"gene-267836"	-0.208590805726459	0.706383046338724	2.5122833004239	11.8090985888371	3.29804373307828e-05	0.000137097180838358	"gene-267836"
"gene-332574"	-1.02935779122605	-0.937509015318089	3.59577657832819	11.8049045082312	3.30868567336968e-05	0.000137485621156961	"gene-332574"
"gene-65678"	0.348601282263631	0.292105219447893	6.55768658330942	11.7947980252911	3.3344744940391e-05	0.000138502907639507	"gene-65678"
"gene-8518"	-0.863397327148885	1.29167251650787	3.39336195655196	11.7834580964779	3.36365626058148e-05	0.000139660273264582	"gene-8518"
"gene-268996"	-0.633092264982549	-0.672968461603755	6.29817844193874	11.7722151231309	3.39284714195988e-05	0.000140801985037865	"gene-268996"
"gene-413578"	-0.08627444111382	1.19763683443199	4.51439790397276	11.771845380253	3.39381153064087e-05	0.000140801985037865	"gene-413578"
"gene-84577"	0.476903093999095	1.0034616207205	3.16128481223326	11.7695203848632	3.39988218808463e-05	0.000140963139451282	"gene-84577"
"gene-47242"	1.8927864494954	0.540267125140134	2.84812318096067	11.7693388729295	3.40035659152017e-05	0.000140963139451282	"gene-47242"
"gene-316755"	0.25957166634059	0.520557968855842	5.19830983419585	11.7658462664562	3.40949817447031e-05	0.000141286830882626	"gene-316755"
"gene-278580"	-0.00316438224861819	1.00746191075865	3.78213901209928	11.7650805054741	3.4115058515585e-05	0.00014131476154462	"gene-278580"
"gene-143862"	0.190397158496874	0.915759844636121	3.81611338384362	11.7620008177377	3.41959244788946e-05	0.000141594378967709	"gene-143862"
"gene-205361"	-0.257528660662776	-0.427398849920317	5.51836076224609	11.7550549425836	3.43790306647894e-05	0.00014229695661098	"gene-205361"
"gene-253245"	0.265525784661229	0.393974211461273	7.19916562477616	11.7531858447189	3.44284750469242e-05	0.000142445967043033	"gene-253245"
"gene-199062"	-0.371687477006666	-0.614780949728695	7.46616769779246	11.7491801376257	3.45346862335955e-05	0.000142829639083208	"gene-199062"
"gene-60881"	0.128999698482504	0.598086930279713	6.8009747585925	11.7485822881738	3.45505669865348e-05	0.000142839566051238	"gene-60881"
"gene-144491"	0.114305810949162	0.495019980125222	8.36936964947007	11.7245407071002	3.5195432389821e-05	0.000145448830578215	"gene-144491"
"gene-171811"	2.14188312526623	3.04291657491687	3.56430657845571	11.7224638381636	3.52517161482761e-05	0.000145624633258142	"gene-171811"
"gene-320647"	-0.192659850721548	-0.567132455808915	2.48835643583045	11.7121478586588	3.55326532990964e-05	0.000146727979094788	"gene-320647"
"gene-69802"	0.435392228825615	1.87615062489179	0.561463436695569	11.7093380834381	3.56095696254274e-05	0.000146988313109088	"gene-69802"
"gene-218696"	0.734135235944727	0.464346325554574	6.09683595365252	11.702632145349	3.57938324965965e-05	0.00014769137427334	"gene-218696"
"gene-424393"	0.0295256233797785	-1.64723804558184	9.77452732954715	11.7007794457253	3.58449123726273e-05	0.000147844566563005	"gene-424393"
"gene-50649"	-0.495608549091063	-1.21365342196353	6.62006781589168	11.699955080365	3.5867664573633e-05	0.00014788084584522	"gene-50649"
"gene-19945"	-0.489722904293951	-1.29117140175694	3.68257051843771	11.6973688001141	3.59391411909881e-05	0.00014811790745224	"gene-19945"
"gene-48408"	0.220205031350899	0.453031756965622	6.12816825459183	11.6968288376806	3.59540824708759e-05	0.000148120805899141	"gene-48408"
"gene-346785"	-0.736638508463612	-1.1961274280873	8.01133697695149	11.6963332184655	3.59678023384758e-05	0.000148120805899141	"gene-346785"
"gene-297257"	3.15650460818621	4.08674886083592	1.89026319456088	11.6916629879633	3.60973489207277e-05	0.000148596545906772	"gene-297257"
"gene-333204"	-0.289437668466391	-0.918641138902616	5.43178878975703	11.6849800937176	3.62835571982901e-05	0.000149268223865198	"gene-333204"
"gene-32621"	-0.404138580010175	2.48546246282224	0.661053244279541	11.6847964284951	3.62886886255897e-05	0.000149268223865198	"gene-32621"
"gene-365406"	0.435903483546535	2.0018657455037	4.73824856506268	11.6841454567819	3.63068821354036e-05	0.000149285107918796	"gene-365406"
"gene-95686"	0.00748025622200955	1.01116716302985	2.99098166742527	11.67914505285	3.64469468767401e-05	0.000149802889490279	"gene-95686"
"gene-229338"	0.444701126679781	0.82479602900583	2.58269492916522	11.6762290975991	3.65288804624596e-05	0.000150081433648787	"gene-229338"
"gene-165922"	0.0115028887149113	-1.05038373563635	7.9221097988386	11.6636675507782	3.68840048273379e-05	0.000151481750058323	"gene-165922"
"gene-300807"	1.86777567362419	2.33117480082503	0.261909449058442	11.6589343635315	3.70187322898444e-05	0.000151976167122507	"gene-300807"
"gene-188340"	0.831171794600863	1.17073330897478	0.954020282046715	11.6543182217115	3.71506142909172e-05	0.00015245852402268	"gene-188340"
"gene-169536"	1.98693515770063	2.49680691422085	2.69781081465171	11.6482531043745	3.73246259745423e-05	0.000153113332104626	"gene-169536"
"gene-133727"	0.842089371841417	1.37610316511874	0.577326200892061	11.6414337204466	3.75212766178124e-05	0.000153860467121649	"gene-133727"
"gene-331410"	-0.112327841507167	-0.655638159814115	10.768183490969	11.6396322296317	3.75734034383423e-05	0.000154013150624558	"gene-331410"
"gene-35193"	0.259767450295409	0.588550962356447	2.26484521640929	11.6391427022309	3.75875809281904e-05	0.000154013150624558	"gene-35193"
"gene-179860"	0.116842387951238	1.85207246294664	4.91070713169038	11.6350522248528	3.77062623069358e-05	0.000154439719908887	"gene-179860"
"gene-292993"	0.51008190238558	2.85512865198932	0.773288642287424	11.6284322495205	3.78991496036824e-05	0.000155169779443825	"gene-292993"
"gene-93172"	1.0872743658006	2.55714983908558	-0.491052105173741	11.6236457933452	3.8039243471451e-05	0.000155683207347816	"gene-93172"
"gene-29854"	-0.0475432789831706	0.357455103464572	5.88082654101514	11.6185475649903	3.81890467572941e-05	0.000156235961173856	"gene-29854"
"gene-376728"	0.970827752194058	1.3456940077406	2.8940339151822	11.6158115635954	3.82696891186142e-05	0.000156505451910782	"gene-376728"
"gene-53269"	0.635666223382314	1.0669545539789	2.71342817288511	11.6146132278254	3.83050644821004e-05	0.000156589684896735	"gene-53269"
"gene-327062"	-0.343118318680578	-0.668557857198764	5.15729632062382	11.6075339685786	3.85147324763382e-05	0.000157386079953444	"gene-327062"
"gene-262925"	0.135662305510864	0.558967758745625	6.92631567104634	11.6014330918348	3.86963676136231e-05	0.000158067352056264	"gene-262925"
"gene-124940"	-0.451600531004042	-0.376472828250566	4.28668212154595	11.5985345135703	3.8782971617138e-05	0.000158360064452869	"gene-124940"
"gene-148811"	0.080708343894064	-1.63956068141363	13.3795715032062	11.5913428973333	3.89987028865289e-05	0.00015917960546443	"gene-148811"
"gene-62852"	-0.616185830744965	-0.766377960187898	2.08777237967977	11.588557599313	3.90825854358644e-05	0.000159460560369048	"gene-62852"
"gene-151080"	0.323329332510163	1.4089499896057	0.727104933856919	11.5785200753393	3.93864154113274e-05	0.000160638359391234	"gene-151080"
"gene-88038"	0.573427676789237	0.920432936349047	3.13976943039336	11.5776880025975	3.94117102432615e-05	0.000160679677467333	"gene-88038"
"gene-241187"	1.97049312194533	2.49624923134298	1.80816726274405	11.5739055360924	3.95269065869109e-05	0.000161087346998042	"gene-241187"
"gene-39749"	0.988153987760903	2.51920194574271	0.7782691212396	11.5726444139272	3.9565391217731e-05	0.000161182193519061	"gene-39749"
"gene-365838"	-0.819897192630839	-1.24767856369235	3.74557700629639	11.5699485473631	3.9647787693893e-05	0.00016145578724231	"gene-365838"
"gene-220908"	0.119414008760463	0.65277023645731	2.81310899905627	11.5690831786403	3.96742741218112e-05	0.000161501578407496	"gene-220908"
"gene-193350"	0.359189657430109	0.765544616067379	3.47885977315657	11.5652016125967	3.97933010360709e-05	0.000161923893155994	"gene-193350"
"gene-400932"	0.335741104097462	0.787777524490804	4.96863109553445	11.5644745941906	3.98156354994659e-05	0.000161952581094948	"gene-400932"
"gene-125969"	0.0354074622437866	0.387331585687043	5.04805637588998	11.5613786366939	3.99108892982365e-05	0.000162277737146629	"gene-125969"
"gene-158681"	0.528275408452525	0.62413529063834	4.94768437754573	11.5551651831832	4.0102765410634e-05	0.000162995359528607	"gene-158681"
"gene-193383"	0.426807486570895	0.870515450754814	1.84573459456368	11.552345057268	4.0190164907661e-05	0.000163287955276678	"gene-193383"
"gene-197839"	-0.234718062256316	-0.523976147446784	5.23583232426404	11.5485046385292	4.03094989009898e-05	0.000163710023133342	"gene-197839"
"gene-209206"	0.539043278193052	0.868929816989644	2.66271022024268	11.5475310168715	4.03398101153573e-05	0.000163770355548784	"gene-209206"
"gene-115136"	0.264099519835964	0.553787915405617	4.43568151924281	11.5375544543785	4.06517550892806e-05	0.000164973572166226	"gene-115136"
"gene-146173"	-0.139923846489589	-0.745892939915889	7.92231220279297	11.5351700203877	4.07266766664216e-05	0.000165214343781548	"gene-146173"
"gene-59544"	-0.741641977419805	-1.84964353192004	2.93649593161758	11.5346134173312	4.07441861331182e-05	0.000165222118739579	"gene-59544"
"gene-115675"	-0.204779601472327	-0.511977246182547	6.27959415766075	11.5291180682736	4.09174722616055e-05	0.000165861337446049	"gene-115675"
"gene-151"	-0.306921603511696	-0.312844382325774	5.32567060764075	11.5212040265296	4.11683566545878e-05	0.000166814496027538	"gene-151"
"gene-137343"	-0.0764683814045936	0.88118586103138	3.18142143660418	11.5164670541385	4.13192784453552e-05	0.00016736203150114	"gene-137343"
"gene-195652"	0.358886609932636	0.384477864168578	4.86167634425308	11.5034735450293	4.17361763860486e-05	0.000168986062279928	"gene-195652"
"gene-240376"	2.33054817064595	3.44534447432137	3.42412880321094	11.7272047400858	4.19204353238961e-05	0.00016966727757525	"gene-240376"
"gene-290669"	1.25106355226883	2.08466699293203	-0.328286777170078	11.4969407137722	4.19474101569853e-05	0.00016971162963857	"gene-290669"
"gene-198541"	-0.570976391508127	-0.786702903733565	6.55785214702723	11.4877882394902	4.22451935671846e-05	0.000170851172151866	"gene-198541"
"gene-26484"	0.301785967035714	0.887177561875876	2.47471426444556	11.4851947990401	4.23299668932362e-05	0.000171128702480248	"gene-26484"
"gene-168523"	-0.0583339826736852	0.488085254314918	6.11709122308067	11.4786093065026	4.25460156599331e-05	0.000171936530103986	"gene-168523"
"gene-297835"	2.82414344979178	2.97532561849005	2.39130367248295	11.4743491129144	4.26863809887097e-05	0.00017243800722698	"gene-297835"
"gene-237273"	0.486727321892053	0.728449387723599	3.02098374914282	11.4711188502138	4.27931285586704e-05	0.000172803349926704	"gene-237273"
"gene-217541"	-0.0635449292415793	-0.542420952739857	10.5264024256738	11.4674447916368	4.29148746873491e-05	0.000173228957023677	"gene-217541"
"gene-179634"	1.89344229106304	3.52886012001476	2.74420638925551	11.4638817227821	4.30332822872868e-05	0.00017364076889417	"gene-179634"
"gene-58644"	0.215723528608074	0.688730030710083	4.98956009555297	11.461492817282	4.31128577722998e-05	0.000173842642708546	"gene-58644"
"gene-252034"	-0.462436647568247	-1.43535807642626	1.12696952821683	11.4613948169018	4.31161254282805e-05	0.000173842642708546	"gene-252034"
"gene-84158"	0.880140187469944	1.18999474238787	2.46148602033257	11.4588386187136	4.32014472854489e-05	0.000174120401459344	"gene-84158"
"gene-407253"	0.323152576609447	2.06656043262583	-0.892736052539884	11.4551486865155	4.3324916892801e-05	0.000174551642355939	"gene-407253"
