"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-76789"	-0.920036070050556	5.66874247758016	78.1610243544287	6.00438434543854e-12	6.38626318980844e-08	"gene-76789"
"gene-231540"	-2.13076177916494	9.12082900771205	68.6352336957555	4.45483222297386e-11	2.3690797761775e-07	"gene-231540"
"gene-172388"	4.01019251939407	4.8811266800055	65.068923383083	9.83736914259669e-11	3.09257495848788e-07	"gene-172388"
"gene-16817"	-1.81054424827882	8.93855332139615	63.4205564573114	1.43067697208213e-10	3.09257495848788e-07	"gene-16817"
"gene-88517"	-0.937452873517039	6.83253240329917	63.350455225513	1.45382425652871e-10	3.09257495848788e-07	"gene-88517"
"gene-312890"	-2.79176518993075	4.43250175647338	62.4705671460614	1.77980452540861e-10	3.15500015537432e-07	"gene-312890"
"gene-129711"	5.49369806299076	4.34903351555767	61.7259488057161	2.1147942193667e-10	3.21327875959775e-07	"gene-129711"
"gene-294618"	-0.939060719643843	8.31019573602504	60.4577376245042	2.84442148485327e-10	3.44853761198084e-07	"gene-294618"
"gene-279912"	-2.72452856746338	6.814349495462	60.3490111786245	2.91809312785141e-10	3.44853761198084e-07	"gene-279912"
"gene-162992"	2.46257096493559	3.84169769318385	57.8441077193733	5.29724656145548e-10	5.39635191654844e-07	"gene-162992"
"gene-253801"	-1.24093721750581	5.39777772332979	57.6276182891876	5.58103338492223e-10	5.39635191654844e-07	"gene-253801"
"gene-17229"	-1.84065321397889	7.28261780771476	56.3649555245639	7.58277102448255e-10	5.75159870436605e-07	"gene-17229"
"gene-202958"	-0.790027281670071	5.47567632153115	56.1608414503093	7.97069101239965e-10	5.75159870436605e-07	"gene-202958"
"gene-72366"	4.18336211747498	4.69993742469536	55.9486516625194	8.39587508515418e-10	5.75159870436605e-07	"gene-72366"
"gene-254128"	-0.969326488062343	6.37276035786033	55.9290029003178	8.43642128952345e-10	5.75159870436605e-07	"gene-254128"
"gene-232048"	-4.58474467444767	3.13798316532818	55.8260250576879	8.65227334240849e-10	5.75159870436605e-07	"gene-232048"
"gene-258523"	3.13231032375307	5.08508873962237	54.4022138815584	1.23012458369513e-09	7.69623827775377e-07	"gene-258523"
"gene-353013"	-2.35194181122606	6.31443644587575	53.6650012960199	1.47878504734994e-09	7.93890694807813e-07	"gene-353013"
"gene-145538"	3.83571055470783	5.64326596473779	53.3402331829278	1.60439462881327e-09	7.93890694807813e-07	"gene-145538"
"gene-215313"	5.85481837228466	4.23677235521497	53.339894868469	1.60453110652638e-09	7.93890694807813e-07	"gene-215313"
"gene-70225"	5.94140403955651	4.61563556231184	53.2695235228083	1.63318310892905e-09	7.93890694807813e-07	"gene-70225"
"gene-163088"	3.73493434601411	5.59457014979751	53.247834502729	1.64212065492402e-09	7.93890694807813e-07	"gene-163088"
"gene-57466"	5.81056207667548	4.47167343828832	52.2521059329384	2.11234564452480e-09	9.39402771137421e-07	"gene-57466"
"gene-19748"	0.959528712543858	5.8877448283471	52.2383370959938	2.11975051779787e-09	9.39402771137421e-07	"gene-19748"
"gene-312908"	-1.56354498049481	9.4964537913288	52.0202519406631	2.24070188352074e-09	9.53284209325065e-07	"gene-312908"
"gene-252927"	4.10262838556951	3.91790227278724	51.7062819803725	2.42756517168643e-09	9.93060891002187e-07	"gene-252927"
"gene-414380"	4.64987702663009	3.29423216676952	51.3651655248417	2.64904302150949e-09	1.04352672506574e-06	"gene-414380"
"gene-259467"	-1.17878248495876	6.84267409678288	50.8800135829487	3.00082954467832e-09	1.13647885131259e-06	"gene-259467"
"gene-17915"	2.43432387530228	4.28078362631121	50.7370394000964	3.11351084657266e-09	1.13647885131259e-06	"gene-17915"
"gene-174050"	1.37890662251561	4.69698452760958	50.4415341898953	3.36056069383681e-09	1.13647885131259e-06	"gene-174050"
"gene-38885"	-2.68585771924981	8.98596287667665	50.4358716808477	3.36548881446707e-09	1.13647885131259e-06	"gene-38885"
"gene-152989"	-2.02426043941923	7.04770885412942	50.3746336231972	3.41926694640871e-09	1.13647885131259e-06	"gene-152989"
"gene-34416"	-2.36818020520144	7.20024621757396	50.2475557023928	3.53373270813639e-09	1.13893276011329e-06	"gene-34416"
"gene-40796"	-1.65976411995427	10.2656116134968	49.7312978747445	4.04129366404625e-09	1.21734165224505e-06	"gene-40796"
"gene-97398"	5.66546355894304	5.01549353726495	49.6632740516424	4.11361153882307e-09	1.21734165224505e-06	"gene-97398"
"gene-64360"	-1.55144536283027	9.42465021741521	49.4358648601811	4.36529285810005e-09	1.21734165224505e-06	"gene-64360"
"gene-330292"	3.00411037738362	2.85657541053063	49.4016228633579	4.40455360051644e-09	1.21734165224505e-06	"gene-330292"
"gene-119464"	-1.4472491616149	8.291476126608	49.2845098178913	4.54162759660424e-09	1.21734165224505e-06	"gene-119464"
"gene-341425"	4.94003927295998	4.15919449490665	49.2477911174947	4.58551159273582e-09	1.21734165224505e-06	"gene-341425"
"gene-294470"	5.40990779973822	3.9722337933229	49.086447232707	4.78362556266256e-09	1.21734165224505e-06	"gene-294470"
"gene-402450"	6.37900737022822	5.58907765346434	49.0748867109509	4.79815790683172e-09	1.21734165224505e-06	"gene-402450"
"gene-26733"	3.76137113372179	4.39232174738661	49.0677887976945	4.80710317734976e-09	1.21734165224505e-06	"gene-26733"
"gene-259401"	5.21282401860504	3.94920139547182	48.8793003309307	5.05109946550277e-09	1.223093273334e-06	"gene-259401"
"gene-243308"	2.47718799606723	4.07924294740436	48.8727499571961	5.05980669675593e-09	1.223093273334e-06	"gene-243308"
"gene-249870"	5.87526566522412	3.85324782162182	48.7655598218928	5.20452874558772e-09	1.23011928306824e-06	"gene-249870"
"gene-350745"	4.50370385000848	6.14126921015737	48.5929136751224	5.44673539495089e-09	1.25376329422623e-06	"gene-350745"
"gene-30604"	-7.29311010147256	4.99074048156816	48.5283313355588	5.54032294364731e-09	1.25376329422623e-06	"gene-30604"
"gene-170302"	4.38275591946715	3.26618511306313	48.2849591940531	5.90828000803012e-09	1.29342569946432e-06	"gene-170302"
"gene-31907"	4.52339257435574	4.17418099686282	48.2527758684921	5.95880587380138e-09	1.29342569946432e-06	"gene-31907"
"gene-63617"	-1.87084520602441	7.28472698156267	48.1534922031923	6.11752323665829e-09	1.30131954290195e-06	"gene-63617"
"gene-289528"	-2.11832825583399	8.4639537401436	48.0335288555557	6.31517792736043e-09	1.31702416540011e-06	"gene-289528"
"gene-287217"	3.20571572528284	4.45602653260826	47.8264778776791	6.67208203267796e-09	1.33347785035686e-06	"gene-287217"
"gene-136450"	2.27603076645457	6.27421392538069	47.7586936742612	6.79342800103404e-09	1.33347785035686e-06	"gene-136450"
"gene-6190"	-1.25682760328231	6.54106855679493	47.6947139944437	6.91006766576378e-09	1.33347785035686e-06	"gene-6190"
"gene-215727"	-2.53225264044919	6.32984660092987	47.6074590990046	7.0725037078824e-09	1.33347785035686e-06	"gene-215727"
"gene-42302"	-1.52857449143812	6.83191008873074	47.58550432681	7.11399672352187e-09	1.33347785035686e-06	"gene-42302"
"gene-59252"	-0.75479289547314	7.2302898546624	47.5684945357184	7.14631792688429e-09	1.33347785035686e-06	"gene-59252"
"gene-166071"	4.26969131401968	5.02892016208777	47.4785070709525	7.31986508518083e-09	1.34139479781242e-06	"gene-166071"
"gene-246231"	-0.87283546015543	7.02896407073589	47.3777090259445	7.51947170537948e-09	1.34139479781242e-06	"gene-246231"
"gene-197659"	3.91709249772372	5.16870709425485	47.3540678115791	7.5671011535112e-09	1.34139479781242e-06	"gene-197659"
"gene-10049"	3.94701848710187	4.01876439884289	47.1777985520013	7.93225875862876e-09	1.37541422165189e-06	"gene-10049"
"gene-156645"	3.70700004094254	3.97809199037889	47.1377969930153	8.01764589530062e-09	1.37541422165189e-06	"gene-156645"
"gene-279859"	-1.60593630769631	8.74976671075218	47.0276484877414	8.25774000107659e-09	1.39411623256271e-06	"gene-279859"
"gene-269228"	-1.14691950148384	6.97828313599507	46.9238814258862	8.49076233679202e-09	1.41105856584562e-06	"gene-269228"
"gene-163988"	5.23694394379067	4.31875871430878	46.8412657522683	8.68116744467156e-09	1.41779737173318e-06	"gene-163988"
"gene-62605"	5.90885857586252	3.12524984341546	46.7915355983812	8.79791524392532e-09	1.41779737173318e-06	"gene-62605"
"gene-38083"	5.13410166310418	7.44451468790951	46.6827622066392	9.05899711237206e-09	1.43808198936103e-06	"gene-38083"
"gene-89219"	-1.96937885887605	7.85820851254198	46.5704306436984	9.33708235659429e-09	1.44763201366085e-06	"gene-89219"
"gene-37420"	-0.885548328817284	7.01696422951737	46.548907366058	9.39136977647597e-09	1.44763201366085e-06	"gene-37420"
"gene-57689"	2.96961588016482	1.56052769297882	46.374981763862	9.84227293941191e-09	1.49546307119407e-06	"gene-57689"
"gene-54991"	2.59610887237756	3.70628578643831	46.0943094519804	1.06179531361831e-08	1.59059928952737e-06	"gene-54991"
"gene-55294"	3.54198982608799	3.58795217242982	46.0265631807102	1.0814527731727e-08	1.59754606881456e-06	"gene-55294"
"gene-136337"	3.46367838013636	4.40596908135434	45.9016363412619	1.11869988080627e-08	1.61572232065115e-06	"gene-136337"
"gene-89463"	-1.79562282316664	7.6613902556659	45.8695486784651	1.12848037101472e-08	1.61572232065115e-06	"gene-89463"
"gene-204245"	4.86551879227838	3.63509106098721	45.7484368430714	1.16620380993984e-08	1.61572232065115e-06	"gene-204245"
"gene-277647"	3.38700989390723	4.87361114314253	45.7295893957287	1.1721911439135e-08	1.61572232065115e-06	"gene-277647"
"gene-425553"	4.66027056605107	3.04173661075871	45.7170045711501	1.17620678675447e-08	1.61572232065115e-06	"gene-425553"
"gene-266947"	-0.709276884106051	7.08985252083449	45.6460443368978	1.19911833195895e-08	1.61572232065115e-06	"gene-266947"
"gene-310012"	-2.19886287255997	8.10380344167526	45.6430520268296	1.20009461575255e-08	1.61572232065115e-06	"gene-310012"
"gene-6223"	-1.42406748638315	8.54903260577195	45.5007579598825	1.24748678467988e-08	1.65797221329177e-06	"gene-6223"
"gene-294758"	4.43985234342128	5.08829041565734	45.4564063755838	1.26265277620001e-08	1.65797221329177e-06	"gene-294758"
"gene-255049"	5.47134395517467	3.96782271716294	45.4065038005659	1.27994622731165e-08	1.66018391142521e-06	"gene-255049"
"gene-335655"	4.92428256867931	4.62801785980867	45.3233575955772	1.30930884510143e-08	1.67385194636207e-06	"gene-335655"
"gene-131635"	4.66227541931662	4.65650689297876	45.2881314866741	1.32195904000013e-08	1.67385194636207e-06	"gene-131635"
"gene-405508"	1.46563058838468	6.13633874770239	45.1857629982725	1.35944693050882e-08	1.6987621638843e-06	"gene-405508"
"gene-8365"	-2.20563439000314	8.35534615990479	45.1404663608492	1.37638576789217e-08	1.6987621638843e-06	"gene-8365"
"gene-39091"	3.67001213426581	3.76088713219541	45.039151582499	1.41507149354057e-08	1.6987621638843e-06	"gene-39091"
"gene-145820"	3.79532290229124	4.04610533702066	45.0253869887158	1.42041385111191e-08	1.6987621638843e-06	"gene-145820"
"gene-321078"	-1.6301236395662	6.54032218381239	45.0194877585086	1.42270989122609e-08	1.6987621638843e-06	"gene-321078"
"gene-40814"	3.88592146781521	3.68138041679945	44.9818162143151	1.43746328271519e-08	1.6987621638843e-06	"gene-40814"
"gene-45480"	4.83190132270763	4.04147289330221	44.9034789384925	1.46865399467552e-08	1.71654987773284e-06	"gene-45480"
"gene-296096"	5.03085500288204	4.28612366634744	44.7817784793867	1.51851239539932e-08	1.75553237363774e-06	"gene-296096"
"gene-144104"	-1.69223665851741	6.51823310299005	44.6675248503778	1.56692169579922e-08	1.79201926414199e-06	"gene-144104"
"gene-198937"	5.30537894611125	2.91698701096405	44.602591201345	1.59514622078959e-08	1.80489097918278e-06	"gene-198937"
"gene-137445"	8.39574484909803	3.90384566709644	44.477811731871	1.65087678090469e-08	1.83224320322857e-06	"gene-137445"
"gene-249163"	3.31462451449487	2.85749831044351	44.4714462741041	1.6537734816655e-08	1.83224320322857e-06	"gene-249163"
"gene-288912"	-0.746165206583579	6.30750749676601	44.3878274033323	1.69231978666954e-08	1.85561992278528e-06	"gene-288912"
"gene-27378"	-1.47674177077983	6.86830472592152	44.2912253784037	1.73801594785752e-08	1.88627934912373e-06	"gene-27378"
"gene-280707"	3.25270440173748	3.66733552278706	44.2200759875799	1.77249089717414e-08	1.90426395781254e-06	"gene-280707"
"gene-304890"	3.39723051719753	5.5570505957548	44.1360364936847	1.81412898300141e-08	1.9295075863203e-06	"gene-304890"
"gene-26108"	4.52789868708289	3.65066515286174	44.0017644964768	1.88277721649751e-08	1.9768988101149e-06	"gene-26108"
"gene-252007"	-1.22684775709313	5.65199981485497	43.9525948226487	1.90858636632331e-08	1.9768988101149e-06	"gene-252007"
"gene-78601"	5.43745524377524	5.62456143091316	43.931856801866	1.91958173048222e-08	1.9768988101149e-06	"gene-78601"
"gene-410057"	-2.0382595176411	7.20719989001774	43.9066524989481	1.93303381207174e-08	1.9768988101149e-06	"gene-410057"
"gene-229699"	4.52514002174085	4.15872134261237	43.7714561779542	2.00688212586876e-08	2.0015498365994e-06	"gene-229699"
"gene-367758"	-2.07943620511508	8.55407560586786	43.7342099282785	2.02773799784009e-08	2.0015498365994e-06	"gene-367758"
"gene-375932"	5.59461842042049	3.95064812615619	43.712715225581	2.039876240778e-08	2.0015498365994e-06	"gene-375932"
