"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-222600"	11.3520910272162	6.90583265823176	48.7170452259433	7.67755903522856e-10	1.56445029879388e-07	"gene-222600"
"gene-224782"	8.18265422834217	3.31334432595474	48.3452904014944	8.63959077124863e-10	1.72726610966322e-07	"gene-224782"
"gene-84970"	4.36843680796455	0.285269571307721	48.0044587096861	9.63020006050919e-10	1.88965925631769e-07	"gene-84970"
"gene-428765"	12.4184470096916	3.39844604602132	50.6197465910382	9.97217563878041e-10	1.92118496488213e-07	"gene-428765"
"gene-222531"	10.7543640257237	3.785464312819	47.6278738719634	1.08611506958085e-09	2.05508487094263e-07	"gene-222531"
"gene-225709"	12.6179646270321	4.21173622858027	50.0976448765548	1.15980273155323e-09	2.15601223570842e-07	"gene-225709"
"gene-326849"	13.2901797201034	4.39324074212249	49.9615775551797	1.20650546986228e-09	2.20416068252771e-07	"gene-326849"
"gene-224845"	7.13901753882913	-0.0440929460402828	49.4974980608177	1.38090363197808e-09	2.48000930244742e-07	"gene-224845"
"gene-222350"	10.8038315904264	2.69556974247996	48.7296494522478	1.72869125122913e-09	3.05286874967064e-07	"gene-222350"
"gene-222332"	10.7678628599171	6.27290881911498	46.075929674424	1.79012880425545e-09	3.10042878876013e-07	"gene-222332"
"gene-224277"	7.99993089173106	-0.263441924684215	48.5654141832037	1.8141429303806e-09	3.10042878876013e-07	"gene-224277"
"gene-241001"	11.352381814237	2.6941520598176	48.4117275569592	1.89805180333975e-09	3.19234236637905e-07	"gene-241001"
"gene-227370"	1.17079749182747	3.95817534165032	45.8437071892176	1.9301769328752e-09	3.1956491844915e-07	"gene-227370"
"gene-225629"	7.23863492403217	2.77500425934271	45.7270329701661	2.00473425030921e-09	3.2680252486579e-07	"gene-225629"
"gene-240929"	10.8270879745171	4.16734053986971	45.3420916149452	2.272354921359e-09	3.64816253738181e-07	"gene-240929"
"gene-237881"	1.83185349121839	2.73246083262268	45.2792269665741	2.31942361287605e-09	3.66815113463204e-07	"gene-237881"
"gene-323803"	2.16055658231943	6.77435406168274	44.2843621033207	3.21305924173871e-09	5.00670231256815e-07	"gene-323803"
"gene-223491"	-3.94504644871759	1.47075918637688	43.9513622186831	3.58559525742238e-09	5.50622715183298e-07	"gene-223491"
"gene-240983"	11.1790717497897	2.60257195976438	45.8821989265146	4.03196931161791e-09	6.10324954655763e-07	"gene-240983"
"gene-220544"	7.63367391710044	-0.649756441944336	45.5586594315591	4.44554640633386e-09	6.63450841148079e-07	"gene-220544"
"gene-225107"	9.45021533447541	1.33363473658943	45.2850335278415	4.82937739217611e-09	7.10723372881918e-07	"gene-225107"
"gene-224307"	8.74836348510523	0.202291558329266	44.9639210749499	5.32374253168870e-09	7.72744874873608e-07	"gene-224307"
"gene-222519"	9.78680429209599	2.98330914665434	42.138480748145	6.55127072107308e-09	9.38071142709329e-07	"gene-222519"
"gene-428756"	7.49563285303355	-0.857884241408063	44.1420919495612	6.84115144350428e-09	9.66517875938285e-07	"gene-428756"
"gene-241108"	10.4028727596248	2.4088996609144	43.796037271205	7.60754889861289e-09	1.06065247539082e-06	"gene-241108"
"gene-240638"	7.67297764125485	-0.367074821364935	43.3385962657186	8.758670090646e-09	1.20528400364266e-06	"gene-240638"
"gene-240871"	11.0379952605931	4.84147452220063	40.6031417720423	1.09964527382153e-08	1.49382581043756e-06	"gene-240871"
"gene-244235"	5.09471876396659	0.0775116768428496	40.5083109777082	1.13565083324106e-08	1.52320964924333e-06	"gene-244235"
"gene-222555"	9.38029353356949	0.888073426724546	42.302056993772	1.20809101208282e-08	1.58476421177097e-06	"gene-222555"
"gene-240935"	8.12822761600559	-0.171921335142289	42.2931361025503	1.21145622077622e-08	1.58476421177097e-06	"gene-240935"
"gene-224956"	7.44860628443312	8.33514771754537	39.9419644900402	1.37737844904726e-08	1.77984171293961e-06	"gene-224956"
"gene-390616"	8.00913226223874	3.90629813337802	39.7756182373146	1.45797256272064e-08	1.86128641862505e-06	"gene-390616"
"gene-222344"	8.70406352953783	0.747990106406264	41.3962318971129	1.60436875839008e-08	2.02379659094063e-06	"gene-222344"
"gene-322927"	6.8812613707984	2.48180003634046	38.8148510399817	2.02817460145673e-08	2.52829859729829e-06	"gene-322927"
"gene-218529"	-2.65613216350833	5.1265665149028	38.3370100382927	2.39257241530915e-08	2.94787178053671e-06	"gene-218529"
"g14784"	5.28269419505233	2.75003929782483	38.1950961419068	2.51325542530363e-08	3.06097178005945e-06	"g14784"
"gene-428774"	7.07911422769422	-1.26970004005573	39.8948342984839	2.58193619586198e-08	3.08807208208448e-06	"gene-428774"
"gene-391198"	9.07002418502382	2.21698403791003	38.1042269905222	2.5937940289309e-08	3.08807208208448e-06	"gene-391198"
"gene-392159"	9.75863786993039	0.845421153293009	39.4231480702608	3.00264325664284e-08	3.49817277399582e-06	"gene-392159"
"gene-5642"	0.79176879703441	6.12679315779596	37.6819688030658	3.00428201617232e-08	3.49817277399582e-06	"gene-5642"
"gene-225738"	7.267752073565	2.25578485425247	37.5829537434998	3.1098382622293e-08	3.58172241593279e-06	"gene-225738"
"gene-403809"	9.13310393402699	8.14491589022554	37.4043622658477	3.30995434422839e-08	3.77121249800474e-06	"gene-403809"
"gene-430314"	9.21109081561381	0.762562242914722	38.3949403889344	4.18304746385637e-08	4.67872173710302e-06	"gene-430314"
"gene-242512"	6.27017638843249	-0.387017090857169	36.7111582390076	4.22055405445414e-08	4.67872173710302e-06	"gene-242512"
"gene-238849"	1.64362006584938	4.5666242288408	36.6988047936817	4.23893249114657e-08	4.67872173710302e-06	"gene-238849"
"gene-392290"	9.86327038186303	6.98087491195552	36.3054975280148	4.86909220827052e-08	5.31885577719942e-06	"gene-392290"
"gene-428747"	10.6284437731233	1.45601023591568	37.513687657135	5.57318276644262e-08	6.02586169318632e-06	"gene-428747"
"gene-84949"	3.86408017899328	4.81224669422241	35.7705512262152	5.88393636433125e-08	6.29759492085393e-06	"gene-84949"
"gene-81427"	7.49522706483019	4.918818186895	35.7381298719041	5.95201728405829e-08	6.30675751418817e-06	"gene-81427"
"gene-222501"	8.01687620389001	0.10427035431756	36.9332334109951	6.7421299880223e-08	7.07322864882022e-06	"gene-222501"
"gene-301479"	5.91682055811149	2.79044934419534	35.3438702293977	6.84764989969503e-08	7.1134998369773e-06	"gene-301479"
"gene-323148"	9.06514865918928	3.8079501009493	35.2892944135821	6.98210264109882e-08	7.1574544376687e-06	"gene-323148"
"gene-390678"	7.4312391500792	1.00099413641065	35.2720850361864	7.02505909321956e-08	7.1574544376687e-06	"gene-390678"
"gene-222159"	3.94359969760125	4.77125557289529	35.2029226070266	7.20044956446901e-08	7.2662822462013e-06	"gene-222159"
"gene-326873"	10.865048623881	1.98996825376283	36.1246509492191	8.80686607551129e-08	8.80354272982241e-06	"gene-326873"
"gene-80359"	5.1115252538571	3.7364208617727	34.4928329458241	9.28364062595983e-08	9.19340710959536e-06	"gene-80359"
