"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-222600"	10.6519101503829	6.63371368517971	262.644331613218	6.23774146195482e-12	6.02316315566357e-08	"gene-222600"
"gene-225030"	9.7387174310407	5.60936235725559	137.347448183006	5.00488823027499e-11	2.41636003757677e-07	"gene-225030"
"gene-222486"	13.0796970083453	4.95549546121176	578.65106890367	1.89983106151492e-10	5.30648148331446e-07	"gene-222486"
"gene-224896"	12.3584070032646	3.97630348548539	207.081973849184	2.45236144581872e-10	5.30648148331446e-07	"gene-224896"
"gene-225709"	12.3314856156469	3.95973597203163	538.308850811532	2.74776381696068e-10	5.30648148331446e-07	"gene-225709"
"gene-431701"	11.3585343938869	3.18569557693066	193.587980451418	3.97719941375003e-10	6.40063958986171e-07	"gene-431701"
"gene-241055"	8.83408717132813	2.84525558439693	92.248781631258	2.11433884408671e-09	2.82998901021803e-06	"gene-241055"
"gene-241126"	13.0364826150665	4.81316729846358	227.640232081593	2.41879819565704e-09	2.82998901021803e-06	"gene-241126"
"gene-222365"	9.47527318637802	4.31013684846282	99.4751066067099	2.73098663209213e-09	2.82998901021803e-06	"gene-222365"
"gene-224357"	13.0486085249716	4.51802044536904	121.101770247027	2.93080883411147e-09	2.82998901021803e-06	"gene-224357"
"gene-224782"	8.876004795068	2.89589542776873	86.1132265375058	3.93813943958370e-09	3.45697040260183e-06	"gene-224782"
"gene-240623"	9.38514470701242	3.23738884456393	112.870748180447	5.01285796061436e-09	4.03367970564102e-06	"gene-240623"
"gene-240910"	9.62057892150002	3.72042479882155	109.739387385707	6.20424181240695e-09	4.60831991850781e-06	"gene-240910"
"gene-222350"	10.72867735137	2.1703789233757	281.718256857379	7.31234727903434e-09	5.04343038045397e-06	"gene-222350"
"gene-224227"	9.31771629347832	2.95467572527766	104.228940753075	9.14918914409460e-09	5.88963802502516e-06	"gene-224227"
"gene-430068"	9.14140922341777	4.33153007711417	75.8080168174613	1.21854945379768e-08	7.353945953669e-06	"gene-430068"
"gene-225140"	9.47758792965103	3.03562332792999	113.845558143148	1.64049005794352e-08	9.31798352911917e-06	"gene-225140"
"gene-222531"	11.7669814785152	3.48491387331369	110.185201669587	2.04987153104281e-08	1.09964219465274e-05	"gene-222531"
"gene-224968"	8.46983018865564	2.72825155800572	100.795042734517	3.7460371825099e-08	1.90377552812188e-05	"gene-224968"
"gene-225236"	7.8171057124241	1.99192249053851	65.9242774003289	4.05622558159036e-08	1.95834571079183e-05	"gene-225236"
"gene-240691"	11.7334643620035	3.63860290196003	84.0916418494892	4.48011929376956e-08	2.06000151907804e-05	"gene-240691"
"gene-224956"	9.79989894414552	8.27370572350308	64.5667798260313	4.83575080018487e-08	2.12245498757205e-05	"gene-224956"
"gene-225173"	10.2191788795525	2.13581806534139	95.9050305318612	5.23027105897207e-08	2.18547109106688e-05	"gene-225173"
"gene-224743"	9.76652560785744	1.75991791656628	188.433394015284	5.43199111284229e-08	2.18547109106688e-05	"gene-224743"
"gene-240929"	11.9025866896901	3.56092268944964	129.5192196445	6.37471801617424e-08	2.46217108656714e-05	"gene-240929"
"gene-222332"	14.4259797304031	5.75070292999887	92.4206171566948	6.6956434955706e-08	2.48665898435499e-05	"gene-222332"
"gene-224682"	10.6064917152822	2.49063718519191	88.6038653047141	8.85909219355017e-08	3.16827386003409e-05	"gene-224682"
"gene-430263"	10.8624580261416	2.3934701898838	86.8984983116871	1.00736324023719e-07	3.47396408847511e-05	"gene-430263"
"gene-222383"	8.58421638195596	4.8717401673674	63.2717070847659	1.11241680227222e-07	3.70396435956572e-05	"gene-222383"
"gene-225720"	10.3559581602749	2.04894643985392	84.3159239152114	1.22885672456655e-07	3.95528017747155e-05	"gene-225720"
"gene-222555"	9.36438730250033	0.795639110008075	149.450695624719	1.69693452078077e-07	5.28567733311586e-05	"gene-222555"
"gene-222519"	8.18161246176213	2.58615845731504	74.9134434981479	2.6551264280621e-07	8.0118439966774e-05	"gene-222519"
"gene-390956"	7.66854475652889	5.07948225265964	51.0268760281466	3.31229718649861e-07	9.69198231297896e-05	"gene-390956"
"gene-225107"	9.41442377918982	0.882459057776818	125.33642242859	3.98822887869191e-07	0.00011326570015485	"gene-225107"
"gene-224875"	13.0631162253767	10.2498294587278	48.2588031060644	5.13241077133131e-07	0.000141595881165643	"gene-224875"
"gene-406796"	1.84617834896654	4.56374713581545	47.8468114602796	5.48631427561198e-07	0.000147155140681415	"gene-406796"
"gene-323803"	2.51419539328311	6.63130087309159	44.6873362760436	9.27548414717739e-07	0.000242065067365256	"gene-323803"
"gene-390616"	12.005068832519	3.52804683449619	53.0194101460882	1.12130705140587e-06	0.000284930023378292	"gene-390616"
"gene-224201"	10.6996282630448	2.69080118629772	98.8451532596251	1.24226643049247e-06	0.00030334934202411	"gene-224201"
"gene-241262"	-8.4078390116316	4.23662100752871	49.5645548008836	1.27530385770327e-06	0.00030334934202411	"gene-241262"
"gene-323148"	8.07074946771867	3.42629568329537	45.6608563600099	1.2880409095887e-06	0.00030334934202411	"gene-323148"
"gene-225738"	8.35794758718727	-0.0989370900158683	72.0775386968575	1.63094787484085e-06	0.000374962682844364	"gene-225738"
"gene-220028"	2.85595843643147	2.48034137439473	41.2044123774219	1.70572477026784e-06	0.000383034380969914	"gene-220028"
"gene-226245"	4.14520960397926	2.46897460355563	40.3133488379808	2.00446080522375e-06	0.00043988803489183	"gene-226245"
"gene-224697"	11.0389404530503	9.43539780665546	39.3421782891746	2.39644722567025e-06	0.000514224320246044	"gene-224697"
"gene-322912"	7.76385047627571	1.45005355883956	52.0998724202996	2.5740129528699e-06	0.000540318892889386	"gene-322912"
"gene-428738"	9.99321611497871	5.63574974530271	41.0754950990029	2.7222964313511e-06	0.000559287113640983	"gene-428738"
"gene-240833"	12.8304068557902	5.17446175273952	51.1583905369985	2.87299351014291e-06	0.000577950527790416	"gene-240833"
"gene-241001"	10.9139140028838	2.70982912209482	80.2413528194612	3.30567349333252e-06	0.000651420066359567	"gene-241001"
"gene-430032"	12.8695742303558	4.87939950777412	58.0560300287223	5.09441036452991e-06	0.000983832529598016	"gene-430032"
"gene-120952"	2.68290856748343	4.40097833823737	34.9542929767174	5.57879136300868e-06	0.00105625116472964	"gene-120952"
"gene-224593"	10.4062427682989	1.38614277039637	71.2507449977812	5.72111451000418e-06	0.00106236695593462	"gene-224593"
"gene-326849"	12.5381235974979	4.63085129625277	70.1169444972816	6.15734268658982e-06	0.0011217981317304	"gene-326849"
"gene-244235"	6.63446253307094	0.0715000646433864	34.3638369322149	6.28251905606288e-06	0.00112340748158043	"gene-244235"
"gene-430314"	8.216063520165	0.638657899453072	67.6040792222707	7.27404655515546e-06	0.00127705806430147	"gene-430314"
