"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-76789"	-1.00604390708572	5.6687351792308	69.6312903296342	3.5858025576226e-11	2.24725269681691e-07	"gene-76789"
"gene-17915"	2.93224922055443	4.2808320775243	67.1741157050104	6.14473012567801e-11	2.24725269681691e-07	"gene-17915"
"gene-19748"	1.1712573259644	5.88775813150738	66.781013013981	6.70474432111485e-11	2.24725269681691e-07	"gene-19748"
"gene-89463"	-2.66264398534957	7.66136383706524	65.6875181687882	8.55913661224923e-11	2.24725269681691e-07	"gene-89463"
"gene-377608"	3.46868427436796	5.03335937185485	64.7536072283455	1.05633764069611e-10	2.24725269681691e-07	"gene-377608"
"gene-16817"	-2.17060407062238	8.93852665134402	62.4251611809954	1.79852181040016e-10	2.68601704580378e-07	"gene-16817"
"gene-88517"	-1.07730229264688	6.83252292003964	61.9980290285056	1.98533641934839e-10	2.68601704580378e-07	"gene-88517"
"gene-172388"	3.89954843081464	4.88119540816137	61.9231041081838	2.02013127445993e-10	2.68601704580378e-07	"gene-172388"
"gene-197659"	4.55619908968213	5.1687897875987	60.5081637129543	2.81085365243232e-10	3.32211670010252e-07	"gene-197659"
"gene-405508"	1.79688132977561	6.13636600411454	59.8377117910372	3.29201802916878e-10	3.39341485333657e-07	"gene-405508"
"gene-294618"	-1.0830872400208	8.31018353933546	59.5677789344877	3.50921908307815e-10	3.39341485333657e-07	"gene-294618"
"gene-279912"	-3.3962514848099	6.81431835056849	59.1334823388018	3.89045055935567e-10	3.44856021665552e-07	"gene-279912"
"gene-162992"	2.56459862881521	3.84175602459378	58.6510027033518	4.364855060621e-10	3.57145871383274e-07	"gene-162992"
"gene-236990"	4.16316701873811	4.80165251090792	57.9825013948069	5.12362304003631e-10	3.80833686056462e-07	"gene-236990"
"gene-252927"	4.39017100220563	3.91798277778937	57.7870803912703	5.37041016343606e-10	3.80833686056462e-07	"gene-252927"
"gene-53233"	6.27001791120106	2.93429583715477	57.4455712491909	5.83177107375564e-10	3.87703430697117e-07	"gene-53233"
