WJ-3841-1-14-10-M_S377	WJ-3841-1-14-13-F_S429	WJ-3841-1-14-14-M_S399	WJ-3841-1-14-15-M_S400	WJ-3841-1-14-16-F_S430	WJ-3841-1-14-19-M_S425	WJ-3841-1-14-20-M_S426	WJ-3841-1-14-23-M_S427	WJ-3841-1-14-24-M_S428	WJ-3841-1-14-4-F_S378_	WJ-3841-1-14-7-M_S374_	WJ-3841-1-14-8-M_S375_	WJ-3841-1-14-9-M_S376_	WJ-3841-1-16-10-M_S401	WJ-3841-1-16-12-M_S402	WJ-3841-1-16-14-M_S403	WJ-3841-1-16-17-F_S405	WJ-3841-1-16-18-M_S404	WJ-3841-1-16-19-F_S435	WJ-3841-1-16-20-M_S431	WJ-3841-1-16-22-F_S436	WJ-3841-1-16-24-M_S433	WJ-3841-1-16-25-M_S434	WJ-3841-1-16-6-M_S379_	WJ-3841-1-16-7-M_S380_	WJ-3841-1-16-8-M_S381_	WJ-3841-1-16-9-M_S382_	WJ-3841-1-18-10-M_S383	WJ-3841-1-18-11-M_S406	WJ-3841-1-18-12-F_S440	WJ-3841-1-18-13-F_S420	WJ-3841-1-18-14-M_S407	WJ-3841-1-18-17-M_S408	WJ-3841-1-18-19-M_S437	WJ-3841-1-18-21-M_S438	WJ-3841-1-18-23-M_S439	WJ-3841-1-18-5-F_S384_	WJ-3841-1-18-8-F_S409_	WJ-3841-1-18-9-F_S410_	WJ-3841-3-14-10-M_S361	WJ-3841-3-14-11-M_S385	WJ-3841-3-14-12-F_S389	WJ-3841-3-14-13-M_S386	WJ-3841-3-14-14-M_S387	WJ-3841-3-14-16-F_S414	WJ-3841-3-14-17-M_S411	WJ-3841-3-14-18-F_S415	WJ-3841-3-14-22-M_S412	WJ-3841-3-14-23-M_S413	WJ-3841-3-14-4-F_S362_	WJ-3841-3-14-5-M_S359_	WJ-3841-3-14-6-F_S363_	WJ-3841-3-14-7-F_S388_	WJ-3841-3-14-9-M_S360_	WJ-3841-3-16-10-F_S393	WJ-3841-3-16-11-M_S365	WJ-3841-3-16-12-F_S394	WJ-3841-3-16-13-M_S390	WJ-3841-3-16-14-M_S391	WJ-3841-3-16-15-F_S418	WJ-3841-3-16-16-M_S392	WJ-3841-3-16-17-F_S419	WJ-3841-3-16-18-F_S432	WJ-3841-3-16-21-M_S416	WJ-3841-3-16-26-M_S417	WJ-3841-3-16-7-M_S364_	WJ-3841-3-16-9-F_S366_	WJ-3841-3-18-10-F_S373	WJ-3841-3-18-11-M_S395	WJ-3841-3-18-15-M_S396	WJ-3841-3-18-16-M_S397	WJ-3841-3-18-17-M_S398	WJ-3841-3-18-20-M_S421	WJ-3841-3-18-21-M_S422	WJ-3841-3-18-22-M_S423	WJ-3841-3-18-24-F_S424	WJ-3841-3-18-4-M_S367_	WJ-3841-3-18-5-F_S372_	WJ-3841-3-18-6-M_S368_	WJ-3841-3-18-7-M_S369_	WJ-3841-3-18-8-M_S370_	WJ-3841-3-18-9-M_S371_
gene-22	0.134592141275252	0.148158642098333	0	3.29017440689524	0.162042378875658	0.896775453505467	0.174062801339165	0.716004924670861	1.45347260059621	0.304274652570303	0.910193082571558	2.467764746197	2.37598864993052	5.46369676048266	6.95129819876706	1.05270161977279	0.852198704857488	8.10064800589028	0.39799644256332	1.9009967197264	0	6.58896040536617	5.36603772847734	2.20051446538063	2.57604414472045	2.44242963004586	9.06522260407474	3.97232234645699	12.8633629001087	0.78025982471204	0.693815250860639	7.09514440249457	4.62735788545819	18.7521337448956	4.84625893593274	6.08595178309354	1.01054510032345	0.876259998865835	0.607406354757901	1.60847841966531	0.63587851382528	0.537674077054292	0.707713177957258	0.858999048413381	0.662577126096314	1.6907017870191	0.0877178323540893	0.665849040546413	0.740607277308773	0.611763631508725	1.14282451524482	0	0.585211763678561	0.759524583971894	0.318921550963766	3.65023842012815	0	1.16316975790995	3.95944130424926	0.797425674079991	3.16242200567791	0.684347353408181	0.840330472428013	1.41775117183001	1.46578810556847	5.94399462781575	0	0.385696256573552	2.73267048314251	11.6960295482094	14.9904743295179	4.97753942279107	9.45217125723183	8.78892737449391	0.847045047589969	0.506354537743734	5.73030535007095	0.724768835883391	5.30893258306086	3.49833877328176	6.70650046412159	6.02722182834357
gene-79	31.2253767758584	40.5954679349432	31.5487398556633	28.5148448597587	34.596047889953	36.4960434562983	32.5932595507587	32.9958936119155	38.384890043018	30.4274652570303	38.3935991193821	34.8852198212394	39.5693494392276	50.3874256800067	34.4542606373672	40.4851497937619	53.0919793126215	31.7082507659134	35.9523453115532	45.0536222575156	31.3308719399266	44.2401627217443	38.5683961734309	36.1946689650538	48.2537049547636	32.8428835359358	37.5812597955881	34.6585124728372	29.9096134303242	44.2147234003489	63.9886883634653	52.6571011047881	63.196487692829	40.8374762691136	67.8745487638135	31.8617475703133	31.3268981100271	48.5228974371956	49.7060866976882	30.3823701492336	33.8287369355049	32.2604446232575	35.0318023088843	37.2590837249304	32.1349906156712	40.5768428884584	40.7010742122974	36.3997475498706	52.9534203275773	36.3999360747691	44.6303047532449	41.2054693498876	36.7708058178029	40.9559025664844	46.4030856652279	34.0688919211961	28.0196228009865	31.0732492470228	30.775657410301	38.8080494718929	31.9962697045059	60.9924578725042	40.5459452946516	40.6894586315214	39.9145376439415	38.3146680738934	35.5764511386797	70.8303625464716	39.1682769250426	28.3466271689241	44.5454059560985	43.2295889595827	41.5735329025705	50.0654970082778	41.9287298557035	32.1535131467271	58.9539271848966	36.1349033890433	51.0843566104101	39.2163776484885	35.6054206458819	38.3898047051585
gene-139	78.9046428226163	134.231729741089	110.420589494821	125.183302433776	76.2409392609972	75.3019630807166	90.0339839926832	85.2045860358324	80.6016623966988	90.217434487095	73.0636810827896	110.039873455421	86.7235857224641	44.5374069263586	91.4246828316102	64.6534244810455	84.1972320399198	78.2291150283119	85.038573227696	53.4180078243118	55.7359721878695	40.5927024973452	59.6133253898029	66.4707128163252	48.2537049547636	89.9541636087102	48.4201129091557	52.5339630318937	47.0476514633947	58.147934555921	39.7682286970575	37.7943966538109	27.0369910736057	36.2571485587522	39.2546973810552	65.6029802501113	68.9697030970758	70.210332409125	59.019650803976	74.0793672168078	100.595980887159	112.239463585083	75.866852677018	66.9303425222093	69.570598240113	71.7702908589608	129.822391884052	118.743078897444	76.7269139291889	68.8234085447315	75.1858233713694	74.6220999811989	72.0298145794362	114.57136224376	78.3749711493455	104.437377020333	63.8224741578026	43.618865921623	81.9784324584334	34.4222082644529	81.7579100879672	71.685385269507	52.6256958358043	122.422813687522	90.3150978892574	67.3117229474269	89.5312585527911	46.1182523931519	65.925675405813	36.1439802010637	59.3494978339173	54.0710789352509	124.840753427083	52.8120368128072	73.8340933149256	72.9150534350977	40.1394246188303	40.7941316197223	34.6492568054025	37.7995504453094	33.6950841500412	32.8123755505719
gene-151	48.4531708590906	38.4471676245173	44.2930048256063	44.809041922478	45.5339084640599	53.8337022240706	47.2580505635834	46.0033164101028	49.7484031022248	43.9676872964088	40.3794749359019	41.6154873108675	44.8696318121495	30.1883043230709	35.3609517067716	39.6956235789323	48.7031559826054	28.9308857353224	39.8659769967592	34.6931901350068	19.7879191199537	28.9443617807157	30.6870282597298	36.5740680108091	34.7451807812295	37.7017595020908	25.2643812574431	31.7785787716559	23.2091257219087	38.1584209513936	42.8903973259304	35.6148424909531	36.3247594008468	33.037314227706	43.9124906917016	38.4846950989739	32.8427157605123	39.8698299483955	43.4801715614197	53.7053072343806	58.055708312248	46.6432261844598	41.6135348638868	43.2362854368068	40.4172046918751	39.2242814588431	47.6307829682705	45.4996844373382	64.5439242174596	38.4100165782978	39.3372227879005	39.8654540864767	54.2783910811865	41.5985772144607	43.2138701555903	35.2856380612388	32.4671819757463	37.0552651448454	35.4549971335047	34.8209211014929	45.762106670398	49.5296397029171	41.4913170761332	42.1072098033514	43.9736431670542	43.535744436164	41.1405406532599	49.0660737826783	43.0395601094945	19.3309377255127	32.9098157571655	35.3200742603531	37.888788175175	35.2734183467412	49.905070720509	43.2933129770893	43.482102739705	29.8190606763452	39.1957363047259	31.4675572656694	27.6389110036526	33.8693883339008
gene-184	0.471072494463381	1.92606234727833	1.1585695427221	1.09672480229841	0.810211894378291	0.543500274851798	2.08875361606998	0.835339078782671	3.43548069231831	3.95557048341394	1.15842755963653	1.12171124827136	5.11751401523497	0.883021698663864	3.47564909938353	0.789526214829592	0.852198704857488	2.08302377294322	0.79599288512664	2.09109639169904	8.57476495197992	0.470640028954727	2.68301886423867	0.303519236604225	2.57604414472045	1.03933175746632	3.11370689444306	1.39031282125995	1.96687506117871	3.34397067733731	2.74372394658525	1.76219272741695	2.97473006922312	1.54189249655732	1.66926696682128	1.25299007298985	5.557998051779	1.53345499801521	3.8469069134667	1.07231894644354	0.508702811060224	0.537674077054292	2.54776744064613	0.715832540344484	2.65030850438526	0.50721053610573	1.35962640148838	2.21949680182138	1.55527528234842	1.83529089452617	1.20297317394191	0.67000763170549	1.8044029380089	1.81117400793298	1.11622542837318	0.405582046680906	6.22658284466367	0.498501324818548	1.25982223317022	5.58197971855994	1.86024823863407	0.855434191760227	5.46214807078209	3.40260281239203	0.676517587185449	4.81945510363439	1.34887018535278	0.826491978371897	0.683167620785627	2.59911767737986	0.319512774341412	1.77282226017216	2.40309438743182	1.64792388271761	1.41174174598328	2.78494995759054	1.32342766418305	3.57207497685385	4.29232847141091	1.67920261117525	2.76389110036526	0.899585347513965
gene-247	17.3960342598263	18.6679889043899	23.1713908544419	16.6075470062331	10.2896910586043	19.1312096747833	20.4088634570171	22.3154868189085	19.0272776805322	15.6701446073706	19.0313099083144	16.2087275375212	12.7937850380874	32.8373694190624	19.6449731704286	16.711638213893	37.7097926899438	29.7409505359115	22.3541335239731	23.6674091605937	12.5323487759707	24.8262615273618	19.7872641237602	10.0920146170905	24.032606959892	15.7458761256148	42.6459602504733	13.1086637433081	28.4934633862755	22.9247767546347	36.1099301016105	32.1600172753594	30.6727722693229	30.8378499311463	39.3893156848311	15.5728766214452	11.6212686537197	28.3689174632814	30.7246381115038	20.9995793678526	25.6894919585413	26.8164945930828	19.2497984404374	22.7992664099718	21.202468035082	9.80607036471078	26.0521962091645	18.5327982952085	24.9954956091711	26.2621387526245	21.1723278613776	14.0701602658153	26.9197411292138	26.5249354710185	11.5609062224365	17.8456100539599	11.1188979368994	16.9490450438306	21.9569017781095	9.96782092599988	20.7417678607698	14.1146641640437	28.7813186806595	19.0687532611137	25.7640447786458	16.2254988489024	18.3783562754317	27.4670834145594	23.4554216469732	12.5894762498087	13.2065280061117	18.1373354309921	17.7027953207477	29.0348493621674	25.3407643403999	23.6720746395196	24.9677590253091	38.1539022890042	22.5629634780086	30.4705307152841	22.7614561206551	30.6983499839141
gene-283	5.85475814547344	20.0014166832749	15.5515680926928	5.64029898324898	22.6859330425921	18.6420594274167	13.4028357031157	14.5587668016408	14.9971945606972	13.3880847130934	20.5207167707042	16.489155349589	10.2350280304699	2.20755424665966	7.85798926817146	16.4046002414593	9.03330627148937	1.38868251529548	7.76093062998474	7.41388720693295	15.1707379919645	29.6503218241478	23.1410377040585	13.3548464105859	10.8696496838204	2.65029598153912	7.80397424176869	15.4920571511823	12.7978003980695	13.8960559258239	5.92896668917273	19.6159874657203	4.09851698426297	21.5638200621472	5.76166340160892	1.96898440041262	2.02109020064691	15.3345499801521	9.71850167612641	9.11471104477008	6.61313654378291	12.5009222915123	9.3418139490358	15.3903996174064	11.4846701856694	28.4037900219209	11.8419073678021	13.0950311307461	32.6237505654515	6.72939994659597	16.6010298003984	23.1152632938394	6.87623822322309	8.53004532768435	27.5867141583657	20.0763113107048	17.790236699039	10.6346949294624	6.29911116585109	35.3525382175463	8.5571418977167	32.8486729635927	16.3864442123463	5.24567933577105	7.77995225263266	2.40972755181719	15.1747895852188	24.7396598859321	4.09900572471376	5.19823535475972	30.7264784658325	13.8416507236519	8.25062406351592	6.27780526749565	8.47045047589969	7.34214079728415	13.8345943451713	3.20969055891216	8.98000298624124	9.83033195292175	14.7136555637092	6.88182790848184
gene-292	309.023556367978	416.77026022261	524.83200285311	332.307615096419	540.573375929196	644.917426139144	457.74165182167	357.644459873095	734.135797173867	432.374281302401	736.759927928832	290.63538442711	450.706770056052	183.834079890583	206.121103111267	209.399897199804	206.743405798427	225.660908735515	329.673719923283	325.260538745187	791.846563450146	393.337404198913	292.95212223906	271.194437905875	163.296066637279	132.073083080033	114.37946085663	229.798847742537	141.142954390184	164.374736406003	148.413389570462	178.862561832821	137.102003634861	181.036319007553	139.114555122025	394.691872991802	296.089714394772	289.822994624875	143.854071685163	525.615003581741	487.082941590164	459.308080323629	551.591650899887	426.92252706145	634.196739195189	775.863050063065	409.905430590659	427.697033710979	316.683671777231	357.794329628103	627.89184813898	882.232549048204	493.918728544705	279.97244664564	523.190804356058	317.570742551149	616.431701621703	441.173672464415	290.658986652843	612.954534809486	321.07884598824	266.211120475783	150.629237182721	280.289406670794	362.726179662598	304.428914046239	365.206602684266	146.895174289299	421.742144564994	195.908494932507	173.974705628899	201.760810301901	206.826323611632	143.997158323182	371.5704275428	430.401357082174	132.097181903302	167.680447101879	127.131991962447	106.71682427896	139.170045994863	141.594733698698
gene-304	1.85064194253471	4.81515586819581	1.6487335800276	2.03677463283991	1.29633903100527	1.65767583829798	2.78500482142664	2.20768185106849	2.37840971006652	1.52137326285152	2.06862064220809	1.90690912206132	4.66059312101757	1.98679882199369	3.02230356468133	0.219312837452665	6.30627041594541	2.08302377294322	4.51062634905096	2.09109639169904	0.659597303998455	0.941280057909454	3.0183962222685	1.36583656471901	4.24104828703977	2.36447974823588	6.97628000400534	0.794464469291398	9.5327877965128	8.7686342205734	9.74495056890625	5.88943358899876	5.58588201887453	5.71407219312417	4.28086206007392	0.536995745567077	0.505272550161727	2.30018249702282	4.6567820531439	1.69783833186894	2.16198694700595	1.4786037118993	2.26468216946323	1.61062321577509	1.87730185727289	0.253605268052865	1.97365122796701	1.33169808109283	3.33273274788948	3.75797659355359	0.54133792827386	1.00501144755824	3.657573522991	2.04487387992433	0.637843101927532	1.62232818672362	0.889511834951952	2.40942306995632	4.13941590898786	1.19613851111999	1.30217376704385	0.684347353408181	3.15123927160505	3.18994013661753	1.01477638077817	3.05232156563511	0.337217546338196	7.82412406192063	1.821780322095	4.22356622574227	2.84898890454426	1.84100773171724	3.12402270366137	3.17813891666967	1.83526426977827	1.77224088210307	7.53125846009324	5.53930467425163	5.45012759856779	6.78677722016662	3.94260936375633	6.5444834031641
gene-322	132.169482732297	128.527622020304	139.295707328818	128.708489298307	141.706060326763	137.505569537505	145.385954818538	136.398938149799	138.476298674984	105.43116711561	139.590520936202	135.670975478421	124.648019942509	143.491026032878	131.772435420106	170.625387538173	179.345217437258	86.9083807489086	132.599148114013	121.473690390517	87.0668441277961	116.95404719525	116.711320594382	147.586228798804	123.304552049119	113.572977797132	122.360798149348	172.299481777572	140.998716885698	198.000219328117	164.181917999113	135.549719532625	129.103285004284	126.027036703905	137.499135476714	147.047334994451	118.233776737844	141.406457316974	183.183633155737	97.5810241263621	129.083338306532	155.656645307218	146.70894179054	123.839029479596	116.944862755999	154.783748601599	147.892265348995	145.820939879665	94.0200938543488	124.84347823003	152.356552479743	116.497576962792	115.530555679543	153.307116026327	144.471462586586	119.038330700846	122.975011182107	111.913547421764	99.3459818157086	113.367349998372	97.1049580566982	163.644560883731	117.961390067082	112.285892808937	124.310106645326	131.812097084401	112.630660476958	192.462432030203	142.895894014327	167.074533199074	214.659332228372	149.871666456093	138.258030423577	174.209096173004	127.268518400393	119.119905004213	163.068117962019	105.40209641847	142.889355693021	126.045146001342	111.490489533852	101.473227199575
gene-376	10.430890948832	39.7065160823532	35.8265350903295	53.7395153126222	14.5838140988092	38.2624193495666	44.8211713448351	49.7623422646248	81.9230011245135	39.2514301815691	39.386537027642	37.1286423177821	44.778247633306	47.9039271525146	71.3263641264794	58.4688024648804	33.8322885828423	79.3863504577247	52.1375339757949	99.232028769718	173.144292299595	89.068625479682	69.2554244331607	63.7390396868872	83.7528498759113	779.238985160375	30.762635836871	87.7883238566994	23.1566757202773	18.726235793089	23.0851256195449	37.5161556968504	25.3843632573706	58.1157421864176	110.117772488694	88.6042980185678	136.423588543666	286.975149628561	27.5357547490248	38.7822018963747	37.8983594239867	26.3460297756603	22.7883643302237	31.7113815372606	7.06748934502735	89.4381245333104	8.15775840893031	37.7314456309634	50.0650519460731	34.1713685599873	47.3971430533113	17.5877003322691	49.7429999126777	44.6366755503482	47.9976934200468	47.0475174149851	47.5888831699294	69.9563525828696	48.5931432794227	55.8197971855994	63.0624152896948	63.6443038669609	38.8652843497956	27.6461478506853	56.9402302547753	70.4443687647893	31.0240142631141	14.105463097547	94.9602992892021	34.9256437897919	29.7413140782798	61.3669243905748	73.4946366822899	48.5352819743258	44.0463424746784	37.9765903307801	22.07531918194	16.669683225318	21.715793384967	22.9840857404612	20.404019593873	24.9410037598247
