geneID,sig_DE
gene-358996,1
gene-423187,1
gene-47360,1
gene-108266,1
gene-7331,1
gene-206306,1
gene-166071,1
gene-227308,1
gene-220105,1
gene-53224,1
gene-185524,1
gene-80050,1
gene-162742,1
gene-143831,1
gene-361821,1
gene-348472,1
gene-347217,1
gene-418586,1
gene-433,1
gene-183933,1
gene-280993,1
gene-233799,1
gene-123966,1
gene-188385,1
gene-370994,1
gene-340742,1
gene-32245,1
gene-53860,1
gene-294364,1
gene-119278,1
gene-303243,1
gene-304606,1
gene-249870,1
gene-336035,1
gene-229684,1
gene-348880,1
gene-31823,1
gene-207502,1
gene-332768,1
gene-229820,1
gene-69862,1
gene-136420,1
gene-57466,1
gene-108242,1
gene-401576,1
gene-419692,1
gene-366123,1
gene-293468,1
gene-86720,1
gene-70158,1
gene-169536,1
gene-170750,1
gene-104716,1
gene-263313,1
gene-29082,1
gene-89251,1
gene-132117,1
gene-252927,1
gene-331896,1
gene-177979,1
gene-329863,1
gene-197659,1
gene-432055,1
gene-357269,1
gene-109867,1
gene-34357,1
gene-335259,1
gene-51064,1
gene-69615,1
gene-101990,1
gene-299976,1
gene-411562,1
gene-180343,1
gene-1771,1
gene-294758,1
gene-198946,1
gene-251998,1
gene-253133,1
gene-356770,1
gene-294470,1
gene-13404,1
gene-6435,1
gene-84083,1
gene-226923,1
gene-275720,1
gene-244392,1
gene-398573,1
gene-384842,1
gene-194788,1
gene-340712,1
gene-369485,1
gene-420709,1
gene-221869,1
gene-21552,1
gene-370982,1
gene-135898,1
gene-79356,1
gene-147255,1
gene-347435,1
gene-196757,1
gene-109484,1
gene-419274,1
gene-125849,1
gene-288903,1
gene-76840,1
gene-248416,1
gene-416888,1
gene-233537,1
gene-285765,1
g14784,1
gene-132007,1
gene-301479,1
gene-398558,1
gene-31079,1
gene-181931,1
gene-76715,1
gene-252900,1
gene-56282,1
gene-416801,1
gene-360831,1
gene-258416,1
gene-194848,1
gene-76361,1
gene-336052,1
gene-206270,1
gene-420821,1
gene-224890,1
gene-357892,1
gene-62933,1
gene-108623,1
gene-118573,1
gene-118590,1
gene-124377,1
gene-142374,1
gene-23834,1
gene-219248,1
gene-38092,1
gene-97311,1
gene-62927,1
gene-293139,1
gene-39443,1
gene-6978,1
gene-45037,1
gene-421620,1
gene-111421,1
gene-53242,1
gene-167337,1
gene-240376,1
gene-249148,1
gene-151619,1
g11241,1
gene-166814,1
gene-341956,1
gene-108545,1
gene-6993,1
gene-428508,1
gene-247244,1
gene-213743,1
gene-300107,1
gene-377626,1
gene-425532,1
gene-206855,1
gene-398804,1
gene-197725,1
gene-61384,1
gene-329410,1
gene-71829,1
gene-107443,1
gene-430140,1
gene-227071,1
gene-156645,1
gene-357595,1
gene-379542,1
gene-101301,1
gene-11707,1
gene-358879,1
gene-255416,1
gene-296617,1
gene-300888,1
gene-267353,1
gene-401486,1
gene-184811,1
gene-105121,1
gene-29269,1
gene-262046,1
gene-41383,1
gene-75666,1
gene-111809,1
gene-89397,1
gene-101238,1
gene-334636,1
gene-118973,1
gene-358511,1
gene-87275,1
gene-270096,1
gene-410993,1
gene-64009,1
gene-104942,1
gene-221519,1
gene-430128,1
gene-324167,1
gene-307478,1
gene-283696,1
gene-162475,1
gene-145281,1
gene-362278,1
gene-104966,1
gene-328257,1
gene-306977,1
gene-123837,1
gene-324122,1
gene-78783,1
gene-246959,1
gene-71595,1
gene-429776,1
gene-227284,1
gene-221311,1
gene-88323,1
gene-345031,1
gene-196413,1
gene-221329,1
gene-142614,1
gene-73253,1
gene-401546,1
gene-45765,1
gene-26733,1
gene-253193,1
gene-317289,1
gene-124353,1
gene-273360,1
gene-1091,1
gene-399798,1
gene-49788,1
gene-402218,1
gene-283762,1
gene-240860,1
gene-12117,1
gene-209323,1
gene-145820,1
gene-244235,1
gene-258455,1
gene-215103,1
gene-421265,1
gene-297257,1
gene-355612,1
gene-5731,1
gene-206961,1
gene-385168,1
gene-238849,1
gene-341043,1
gene-175431,1
gene-238199,1
gene-283934,1
gene-70225,1
gene-333573,1
gene-124865,1
gene-124877,1
gene-224079,1
gene-223773,1
gene-78574,1
gene-426056,1
gene-263126,1
gene-231604,1
gene-241328,1
gene-90190,1
gene-223491,1
gene-336088,1
gene-336688,1
gene-266887,1
gene-353485,1
gene-78833,1
gene-379691,1
gene-346228,1
gene-346500,1
gene-222737,1
gene-229506,1
gene-223318,1
gene-81083,1
gene-241268,1
gene-217258,1
gene-331064,1
gene-286545,1
gene-124766,1
gene-299637,1
gene-124641,1
gene-61250,0
gene-290138,0
gene-125210,0
gene-239506,0
gene-80821,0
gene-215617,0
gene-266992,0
gene-288356,0
gene-259590,0
gene-288660,0
gene-237378,0
gene-100330,0
gene-334677,0
gene-333750,0
gene-115136,0
gene-241682,0
gene-230270,0
gene-170777,0
gene-117724,0
gene-76019,0
gene-227370,0
gene-218813,0
gene-7160,0
gene-264249,0
gene-262796,0
gene-255088,0
gene-221012,0
gene-152727,0
gene-330102,0
gene-37682,0
gene-75596,0
gene-421316,0
gene-250269,0
gene-359782,0
gene-281451,0
gene-3092,0
gene-173101,0
gene-263342,0
gene-237857,0
gene-264996,0
gene-263447,0
gene-350879,0
gene-302994,0
gene-331776,0
gene-361221,0
gene-2673,0
gene-360840,0
gene-218101,0
gene-410894,0
gene-130964,0
gene-288413,0
gene-399203,0
gene-261023,0
gene-354992,0
gene-199691,0
gene-224028,0
gene-370842,0
gene-199539,0
gene-171018,0
gene-57689,0
gene-357287,0
gene-119060,0
gene-223419,0
gene-126335,0
gene-384593,0
gene-378277,0
gene-332999,0
gene-373115,0
gene-263173,0
gene-111890,0
gene-162460,0
gene-54398,0
gene-236155,0
gene-407355,0
gene-332963,0
gene-333008,0
gene-399583,0
gene-87554,0
gene-232048,0
gene-371289,0
gene-402818,0
gene-6594,0
gene-287310,0
gene-261546,0
gene-371957,0
gene-162836,0
gene-391306,0
gene-81458,0
gene-225876,0
gene-241841,0
gene-333398,0
gene-225355,0
gene-363160,0
gene-283753,0
gene-283910,0
gene-81675,0
gene-301194,0
gene-205521,0
gene-48523,0
gene-81750,0
gene-391282,0
gene-217099,0
gene-93681,0
gene-65074,0
gene-392350,0
gene-370643,0
