geneID,sig_DE
gene-289528,0
gene-23834,0
gene-336348,0
gene-353013,0
gene-282437,0
gene-183665,0
gene-21635,0
gene-222746,0
gene-402536,0
gene-17262,0
gene-287310,0
gene-218421,0
gene-117360,0
gene-270896,0
gene-85401,0
gene-48598,0
gene-405355,0
gene-205849,0
gene-351334,0
gene-345135,0
gene-64360,0
gene-24914,0
gene-116902,0
gene-23181,0
gene-403700,0
gene-272072,0
gene-122692,0
gene-431362,0
gene-81551,0
gene-336688,0
gene-68612,0
gene-279975,0
gene-217473,0
gene-369289,0
gene-182960,0
gene-24203,0
gene-424726,0
gene-392224,0
gene-90918,0
gene-152989,0
gene-286289,0
gene-372264,0
gene-259467,0
gene-15918,0
gene-326882,0
gene-403706,0
gene-330422,0
gene-410561,0
gene-237351,0
gene-328764,0
gene-227164,0
None,0
